player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,30,是,6-7,8-15,6-6,1,4,4,0,2,1,0,0,5,0/0,42,上海,2018-01-19
翟逸,22,11,是,4-4,0-0,2-4,1,0,0,1,0,1,0,2,2,0/0,10,上海,2018-01-19
张兆旭,23,18,是,3-3,0-0,3-4,2,3,1,2,1,2,2,0,3,0/0,9,上海,2018-01-19
罗汉琛,33,36,是,1-3,0-1,2-2,0,1,5,2,1,1,0,0,2,0/0,4,上海,2018-01-19
曾文鼎,76,30,是,0-2,0-2,0-0,1,4,6,1,1,1,2,0,1,0/0,0,上海,2018-01-19
卢伟,12,29,否,3-4,8-10,0-0,0,3,3,1,0,0,0,0,0,0/0,30,上海,2018-01-19
明纳拉斯,41,17,否,7-15,0-1,1-1,1,7,1,2,0,1,0,1,1,0/0,15,上海,2018-01-19
董瀚麟,16,25,否,3-7,0-0,1-1,3,4,0,3,0,1,1,1,1,0/0,7,上海,2018-01-19
施宇晨,47,11,否,0-0,0-3,0-0,0,2,1,1,1,0,0,0,0,0/0,0,上海,2018-01-19
孟令源,5,4,否,0-2,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,上海,2018-01-19
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-01-19
唐子豪,7,7,否,0-2,0-0,0-0,1,0,1,1,0,0,0,0,0,0/0,0,上海,2018-01-19
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-01-19
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-01-19
蔡亮,1,16,否,0-1,0-1,0-0,1,4,0,3,1,0,0,0,2,0/0,0,上海,2018-01-19
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-01-19
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-01-19
付豪,1,46,是,8-18,0-0,6-6,4,7,5,3,0,2,0,0,6,0/0,22,八一,2018-01-19
刘航初,9,41,是,6-17,1-5,7-9,3,4,3,4,0,1,0,0,6,0/0,22,八一,2018-01-19
张祖铭,20,36,是,1-3,3-8,0-0,2,2,0,3,1,1,0,0,1,0/0,11,八一,2018-01-19
田宇翔,7,23,是,2-3,1-1,0-0,0,2,3,0,1,1,0,0,0,0/0,7,八一,2018-01-19
曹岩,8,13,是,0-1,0-2,0-0,1,3,1,1,0,2,0,0,0,0/0,0,八一,2018-01-19
德勒黑,22,25,否,5-7,4-6,0-0,1,2,1,3,0,0,0,0,1,0/0,22,八一,2018-01-19
阿尔斯兰,5,24,否,1-2,1-2,0-0,0,3,2,1,1,0,0,0,1,0/0,5,八一,2018-01-19
李天戈,6,7,否,2-2,0-1,0-0,0,0,0,0,0,0,0,0,1,0/0,4,八一,2018-01-19
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-19
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-19
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-19
宁鸿宇,16,12,否,0-3,0-0,0-0,0,2,0,2,1,1,0,0,0,0/0,0,八一,2018-01-19
雷蒙,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-19
罗凯文,13,8,否,0-2,0-0,0-0,0,0,0,0,2,1,1,0,2,0/0,0,八一,2018-01-19
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-19
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-19
