player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,37,是,4-8,3-7,4-5,0,1,6,0,4,3,0,0,4,0/0,21,上海,2018-11-06
蔡亮,1,38,是,3-5,2-5,0-0,2,8,4,2,0,2,0,0,0,0/0,12,上海,2018-11-06
董瀚麟,16,22,是,3-6,0-0,3-3,4,3,0,1,1,2,1,0,4,0/0,9,上海,2018-11-06
罗汉琛,33,24,是,1-1,0-2,2-2,1,2,4,4,1,3,0,0,1,0/0,4,上海,2018-11-06
王潼,25,10,是,0-2,0-0,1-4,1,1,0,1,0,0,1,0,3,0/0,1,上海,2018-11-06
路易斯-斯科拉,4,32,否,11-21,0-2,5-5,4,4,3,2,0,4,2,0,5,0/0,27,上海,2018-11-06
卢伟,12,25,否,1-2,3-4,3-3,1,1,0,1,0,0,0,0,2,0/0,14,上海,2018-11-06
刘炜,8,22,否,1-5,1-1,0-0,1,0,3,2,0,0,0,0,0,0/0,5,上海,2018-11-06
罗旭东,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
孟令源,5,4,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,上海,2018-11-06
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
唐子豪,7,7,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,上海,2018-11-06
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
张兆旭,23,14,否,0-2,0-0,0-0,1,3,0,1,0,1,0,0,2,0/0,0,上海,2018-11-06
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-06
汉密尔顿,41,41,是,9-12,3-3,4-5,2,4,3,3,2,0,2,0,4,0/0,31,北京,2018-11-06
王骁辉,33,29,是,4-5,1-3,0-0,1,3,2,3,3,1,0,0,0,0/0,11,北京,2018-11-06
张卓,22,15,是,3-3,1-1,1-2,1,4,0,3,1,1,0,0,2,0/0,10,北京,2018-11-06
刘晓宇,10,19,是,3-7,1-2,1-2,0,2,3,2,0,3,0,0,1,0/0,10,北京,2018-11-06
张才仁,16,19,是,1-4,1-1,0-0,0,1,0,2,0,2,0,0,0,0/0,5,北京,2018-11-06
艾伦-杰克逊,7,30,否,7-9,0-4,4-5,1,3,14,2,1,0,0,0,4,0/0,18,北京,2018-11-06
朱彦西,13,33,否,1-3,4-5,0-0,0,4,1,4,1,0,0,0,1,0/0,14,北京,2018-11-06
段江鹏,11,17,否,2-4,1-1,0-0,0,0,0,1,1,1,0,0,1,0/0,7,北京,2018-11-06
翟晓川,20,26,否,2-9,0-1,2-2,4,2,0,0,2,1,1,0,1,0/0,6,北京,2018-11-06
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
王旭,4,1,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,1,0/0,0,北京,2018-11-06
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
丘天,19,4,否,0-2,0-0,0-0,2,0,0,1,0,1,0,0,0,0/0,0,北京,2018-11-06
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-11-06
