player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,35:45,是,9-19,4-12,5-5,4,5,3,2,0,3,0,0,7,0/0,35,上海,2017-02-17
翟逸,22,27:53,是,6-6,0-1,1-2,1,1,0,3,2,1,0,3,2,3/3,13,上海,2017-02-17
张兆旭,23,18:16,是,3-3,0-0,2-2,1,0,1,1,1,3,1,1,1,0/0,8,上海,2017-02-17
刘晓宇,10,28:21,是,1-8,1-7,0-0,1,4,2,3,2,2,0,0,2,0/0,5,上海,2017-02-17
曾文鼎,76,09:56,是,0-0,1-1,0-2,0,1,0,1,0,0,0,0,1,0/0,3,上海,2017-02-17
亚布塞莱,16,33:31,否,4-4,2-6,5-7,2,8,7,2,2,1,3,0,9,1/1,19,上海,2017-02-17
蔡亮,1,25:40,否,2-2,1-2,3-4,1,0,1,3,0,3,0,1,2,1/1,10,上海,2017-02-17
吴冠希,11,20:54,否,2-5,0-0,0-0,3,4,0,2,1,1,2,1,0,0/0,4,上海,2017-02-17
卢伟,12,22:19,否,0-3,1-4,0-0,2,1,1,1,0,0,0,0,0,0/0,3,上海,2017-02-17
鞠鹏,9,04:00,否,0-1,0-1,2-2,0,1,0,0,0,0,0,0,1,0/0,2,上海,2017-02-17
葛暘,24,11:09,否,1-1,0-0,0-0,0,2,2,2,1,1,0,0,0,0/0,2,上海,2017-02-17
唐子豪,7,02:16,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-02-17
未确认,--,--,--,0-0,0-0,0-0,0,5,0,0,0,1,0,0,0,0/0,0,上海,2017-02-17
麦克鲁姆,4,43:13,是,9-23,1-3,15-17,3,5,2,1,2,4,1,1,9,4/4,36,北控,2017-02-17
杨敬敏,6,34:17,是,1-2,2-9,0-0,0,6,3,1,1,3,0,0,1,0/0,8,北控,2017-02-17
何重达,9,20:40,是,2-4,0-0,3-6,0,2,0,4,1,1,0,1,3,0/0,7,北控,2017-02-17
何敬佳,18,12:17,是,1-1,0-0,0-0,0,1,0,2,0,1,0,0,0,0/0,2,北控,2017-02-17
于梁,11,21:38,是,0-1,0-3,0-0,0,4,0,1,0,3,0,0,0,0/0,0,北控,2017-02-17
巴蒂斯塔,15,26:42,否,5-9,0-0,5-6,3,9,4,6,2,7,2,0,4,0/0,15,北控,2017-02-17
王振宇,27,30:36,否,4-7,1-5,1-2,2,2,0,4,2,1,0,0,1,0/0,12,北控,2017-02-17
孙伟博,10,30:17,否,1-2,1-2,0-0,0,2,2,4,0,1,0,0,2,0/0,5,北控,2017-02-17
夏宇彤,13,20:20,否,1-1,0-0,0-0,0,2,0,2,0,0,0,0,0,0/0,2,北控,2017-02-17
未确认,--,--,--,0-0,0-0,0-0,4,2,0,0,0,1,0,0,0,0/0,0,北控,2017-02-17
