player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,45,是,10-16,1-9,9-9,0,7,7,2,5,5,0,0,6,0/0,32,上海,2018-10-27
蔡亮,1,30,是,6-10,0-4,0-0,1,7,2,5,0,1,0,0,1,0/0,12,上海,2018-10-27
张兆旭,23,25,是,3-5,0-0,1-2,2,3,0,2,0,1,1,0,3,0/0,7,上海,2018-10-27
罗旭东,13,29,是,1-4,0-1,2-4,1,0,3,5,3,0,0,0,3,0/0,4,上海,2018-10-27
唐子豪,7,4,是,0-2,0-0,0-0,2,0,0,2,0,1,0,0,0,0/0,0,上海,2018-10-27
路易斯-斯科拉,4,26,否,9-15,0-1,7-11,5,6,5,1,1,0,1,0,6,0/0,25,上海,2018-10-27
董瀚麟,16,22,否,7-7,0-1,0-0,4,5,1,5,0,2,1,1,0,0/0,14,上海,2018-10-27
卢伟,12,30,否,3-4,1-5,0-0,1,0,0,2,0,0,0,0,2,0/0,9,上海,2018-10-27
罗汉琛,33,12,否,0-3,1-1,1-2,0,1,2,0,0,0,0,0,2,0/0,4,上海,2018-10-27
罗智,27,5,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,上海,2018-10-27
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
刘炜,8,7,否,0-2,0-0,0-0,0,1,2,0,0,0,0,0,0,0/0,0,上海,2018-10-27
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-27
琼斯,55,34,是,11-23,2-7,10-11,6,4,3,5,0,4,1,0,10,0/0,38,吉林,2018-10-27
代怀博,36,37,是,3-7,0-2,2-2,1,2,0,4,2,1,0,0,1,0/0,8,吉林,2018-10-27
姜宇星,13,35,是,2-3,0-2,3-4,5,4,1,2,0,3,1,0,5,0/0,7,吉林,2018-10-27
崔晋铭,5,38,是,3-6,0-1,0-0,0,2,4,1,2,2,0,0,2,0/0,6,吉林,2018-10-27
李安,4,19,是,2-4,0-0,0-0,3,1,0,4,0,0,2,0,0,0/0,4,吉林,2018-10-27
马齐-兰佩,30,37,否,10-17,5-7,0-0,3,17,4,3,1,3,0,0,3,0/0,35,吉林,2018-10-27
柴长易,6,36,否,0-0,1-8,0-2,0,1,1,3,1,1,0,0,2,0/0,3,吉林,2018-10-27
张彪,14,2,否,0-0,0-0,1-2,0,0,0,1,0,0,0,0,1,0/0,1,吉林,2018-10-27
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
姜伟泽,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-27
