player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,44,是,8-15,6-16,14-15,2,3,8,1,4,2,0,0,11,0/0,48,上海,2018-12-13
罗汉琛,33,35,是,6-8,0-0,4-5,1,5,4,2,2,1,1,0,5,0/0,16,上海,2018-12-13
王潼,25,31,是,6-9,0-0,3-4,1,10,0,2,0,0,2,3,2,0/0,15,上海,2018-12-13
张兆旭,23,36,是,3-3,0-0,4-6,4,6,1,5,1,1,2,3,4,0/0,10,上海,2018-12-13
蔡亮,1,20,是,0-2,0-1,0-0,0,1,2,0,0,1,2,0,0,0/0,0,上海,2018-12-13
路易斯-斯科拉,4,27,否,7-15,0-2,3-4,4,3,3,0,0,3,0,0,3,0/0,17,上海,2018-12-13
卢伟,12,25,否,1-3,1-2,0-0,1,3,0,3,0,1,0,0,0,0/0,5,上海,2018-12-13
孟令源,5,12,否,0-2,0-0,0-0,0,0,0,1,3,0,0,0,2,0/0,0,上海,2018-12-13
罗旭东,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
唐子豪,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
罗智,27,6,否,0-1,0-1,0-0,0,0,0,0,1,1,0,0,0,0/0,0,上海,2018-12-13
刘炜,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
董瀚麟,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-12-13
乔-杨,3,43,是,13-23,1-6,6-8,1,1,5,1,3,5,0,1,6,0/0,35,同曦,2018-12-13
郭一飞,10,23,是,1-1,1-5,4-4,2,2,0,5,1,0,0,0,2,0/0,9,同曦,2018-12-13
于长春,6,36,是,1-4,2-4,0-0,1,3,0,4,1,0,1,0,0,0/0,8,同曦,2018-12-13
张财宝,22,32,是,1-1,2-5,0-0,1,7,5,5,2,5,0,0,1,0/0,8,同曦,2018-12-13
买尔丹,33,26,是,2-3,0-0,0-0,2,3,4,5,0,1,0,0,0,0/0,4,同曦,2018-12-13
奥斯汀,2,28,否,11-15,2-6,3-3,0,6,2,0,0,2,4,1,3,0/0,31,同曦,2018-12-13
杨力,19,24,否,1-4,1-3,0-0,1,1,1,5,0,0,0,0,0,0/0,5,同曦,2018-12-13
乔文瀚,9,9,否,1-2,0-0,1-2,0,1,0,0,1,0,0,0,2,0/0,3,同曦,2018-12-13
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
冯欣,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
李泓澎,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
王睿,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
李佳益,39,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
张韩,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
宋建骅,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
惠龙儿,18,14,否,0-3,0-0,0-0,3,4,0,2,1,0,1,0,0,0/0,0,同曦,2018-12-13
李柏润,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2018-12-13
