player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,44:26,是,8-14,4-14,14-15,1,7,4,2,1,4,0,0,12,3/3,42,上海,2016-12-11
刘晓宇,10,41:31,是,4-6,2-8,1-1,3,4,7,2,1,2,0,0,2,0/0,15,上海,2016-12-11
翟逸,22,27:56,是,4-5,0-1,0-0,2,1,3,4,0,1,0,1,1,1/1,8,上海,2016-12-11
张兆旭,23,25:46,是,1-1,0-0,2-2,1,9,0,4,0,1,3,0,2,0/0,4,上海,2016-12-11
曾文鼎,76,24:53,是,2-4,0-5,0-0,0,4,0,1,0,1,1,1,2,0/0,4,上海,2016-12-11
亚布塞莱,16,27:34,否,5-7,2-4,8-10,5,6,1,1,2,1,1,0,5,0/0,24,上海,2016-12-11
鞠鹏,9,17:47,否,2-5,1-1,3-5,2,5,1,5,0,0,0,0,4,0/0,10,上海,2016-12-11
卢伟,12,30:07,否,1-2,0-5,0-0,2,1,2,0,0,1,0,0,0,0/0,2,上海,2016-12-11
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,2,0,0,0,0/0,0,上海,2016-12-11
萨尼-萨卡基尼,7,46:00,是,13-23,0-0,6-6,8,11,2,4,1,1,0,0,5,1/1,32,天津,2016-12-11
普-杰特,3,48:00,是,6-14,1-9,5-5,0,4,4,2,3,0,0,0,6,0/0,20,天津,2016-12-11
时德帅,23,19:51,是,3-5,1-2,4-5,3,3,0,6,0,1,1,0,3,0/0,13,天津,2016-12-11
张智涵,9,28:40,是,3-4,1-3,2-2,0,2,0,1,0,2,0,0,1,0/1,11,天津,2016-12-11
李荣培,15,35:19,是,1-5,0-3,2-2,0,2,4,5,2,1,0,0,1,0/0,4,天津,2016-12-11
张楠,11,18:17,否,3-5,1-2,1-1,0,0,0,1,0,3,0,0,2,1/1,10,天津,2016-12-11
田垒,1,23:37,否,0-0,2-9,0-0,0,4,0,2,0,1,1,0,0,0/0,6,天津,2016-12-11
孟祥龙,14,13:44,否,1-2,0-1,0-0,2,0,0,3,0,0,0,0,0,0/0,2,天津,2016-12-11
张骥,13,06:32,否,0-2,0-0,0-2,0,1,1,4,0,0,0,0,1,0/0,0,天津,2016-12-11
未确认,--,--,--,0-0,0-0,0-0,0,5,0,0,0,0,0,0,0,0/0,0,天津,2016-12-11
