player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,43,是,8-13,8-14,10-11,0,9,10,1,3,6,0,0,9,0/0,50,上海,2017-12-17
张兆旭,23,29,是,6-6,0-0,1-1,0,4,1,4,1,1,0,2,2,0/0,13,上海,2017-12-17
曾文鼎,76,17,是,1-1,0-2,0-0,0,1,2,3,1,0,0,0,0,0/0,2,上海,2017-12-17
翟逸,22,7,是,1-1,0-0,0-0,0,1,3,1,0,0,0,0,1,0/0,2,上海,2017-12-17
罗汉琛,33,10,是,0-2,0-0,0-0,0,1,0,2,0,0,0,0,0,0/0,0,上海,2017-12-17
明纳拉斯,41,28,否,10-15,5-10,2-3,2,7,0,1,1,3,1,0,7,0/0,37,上海,2017-12-17
蔡亮,1,30,否,4-5,1-4,3-3,1,4,1,5,1,0,1,1,3,0/0,14,上海,2017-12-17
孟令源,5,33,否,0-2,2-5,0-0,0,1,3,4,2,0,0,0,1,0/0,6,上海,2017-12-17
董瀚麟,16,21,否,1-3,0-0,2-2,2,2,0,5,0,1,0,0,3,0/0,4,上海,2017-12-17
卢伟,12,18,否,0-0,0-1,0-0,1,2,0,1,2,0,0,0,1,0/0,0,上海,2017-12-17
唐子豪,7,0,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-17
丁彦雨航,8,36,是,9-15,2-11,8-12,1,3,0,3,0,4,0,0,8,0/0,32,山东,2017-12-17
莫泰尤纳斯,12,36,是,7-13,1-4,6-9,3,12,2,4,0,4,0,0,7,0/0,23,山东,2017-12-17
贾诚,32,28,是,1-4,0-3,4-4,2,2,1,5,1,0,0,0,2,0/0,6,山东,2017-12-17
张辉,4,15,是,1-1,0-2,1-2,1,2,0,3,0,1,0,0,1,0/0,3,山东,2017-12-17
张庆鹏,9,4,是,0-0,0-2,0-0,0,1,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
泰-劳森,3,35,否,5-6,2-4,7-8,2,5,8,3,0,2,0,0,5,0/0,23,山东,2017-12-17
王汝恒,24,26,否,0-0,3-6,1-1,0,0,2,0,0,1,0,0,2,0/0,10,山东,2017-12-17
张春军,27,31,否,2-4,1-2,0-0,6,1,0,4,1,0,0,0,1,0/0,7,山东,2017-12-17
陶汉林,20,17,否,2-4,0-0,0-0,2,1,0,3,0,2,0,2,0,0/0,4,山东,2017-12-17
吴轲,15,4,否,1-2,0-1,0-0,1,1,0,1,0,0,0,1,0,0/0,2,山东,2017-12-17
朱荣振,35,1,否,0-0,0-0,1-2,0,0,0,1,0,1,0,0,1,0/0,1,山东,2017-12-17
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
睢冉,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
李泓翰,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
焦海龙,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2017-12-17
