player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,44:10,是,9-14,9-17,6-7,1,9,6,1,2,3,0,0,7,0/0,51,上海,2016-11-11
刘晓宇,10,36:48,是,5-13,1-3,4-5,2,3,3,3,1,4,0,0,5,1/1,17,上海,2016-11-11
曾文鼎,76,29:29,是,2-2,2-3,0-0,0,3,2,4,1,0,0,0,2,0/0,10,上海,2016-11-11
张兆旭,23,31:03,是,2-3,0-0,2-2,2,4,1,5,1,2,1,0,1,0/0,6,上海,2016-11-11
翟逸,22,21:39,是,0-2,0-1,1-2,2,3,0,3,1,1,0,0,1,0/0,1,上海,2016-11-11
亚布塞莱,16,27:50,否,4-6,1-6,4-4,1,2,1,2,2,2,0,1,3,1/1,15,上海,2016-11-11
蔡亮,1,31:35,否,2-3,1-2,0-0,0,4,2,4,1,1,1,0,3,2/2,7,上海,2016-11-11
卢伟,12,14:47,否,1-1,0-2,0-0,0,0,1,3,0,0,0,0,0,1/1,2,上海,2016-11-11
吴冠希,11,02:31,否,1-1,0-0,0-0,0,0,0,1,0,0,0,1,0,0/0,2,上海,2016-11-11
任鹏鹏,3,00:34,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,上海,2016-11-11
未确认,--,--,--,0-0,0-0,0-0,3,1,0,0,0,1,0,0,0,0/0,0,上海,2016-11-11
唐纳德-斯隆,23,45:22,是,8-13,4-10,7-9,2,4,6,0,0,3,0,0,10,1/1,35,广东,2016-11-11
易建联,9,43:26,是,6-14,2-4,9-10,2,7,1,3,1,1,3,1,8,0/0,27,广东,2016-11-11
任骏飞,20,09:22,是,0-0,0-1,0-0,0,0,1,1,0,1,0,0,0,0/0,0,广东,2016-11-11
高尚,3,12:00,是,0-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,广东,2016-11-11
赵睿,0,12:27,是,0-1,0-1,0-0,0,1,0,5,2,5,0,0,0,0/0,0,广东,2016-11-11
布泽尔,5,26:00,否,4-8,0-0,2-2,3,7,1,3,0,2,0,0,1,0/0,10,广东,2016-11-11
周鹏,11,31:11,否,5-8,0-2,0-2,0,2,1,5,1,1,0,1,2,0/0,10,广东,2016-11-11
杨金蒙,17,14:30,否,1-1,1-3,0-0,0,0,0,2,1,1,0,0,1,0/0,5,广东,2016-11-11
朱芳雨,8,20:47,否,0-0,0-2,1-1,0,1,1,0,1,1,0,0,2,0/0,1,广东,2016-11-11
董瀚麟,16,05:12,否,0-0,0-0,0-0,1,3,0,0,1,2,0,0,1,0/0,0,广东,2016-11-11
陈江华,6,08:45,否,0-1,0-1,0-0,0,1,1,2,0,0,0,0,1,0/0,0,广东,2016-11-11
周湛东,13,10:58,否,0-0,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,0,广东,2016-11-11
未确认,--,--,--,0-0,0-0,0-0,2,3,0,0,0,1,0,0,1,0/0,0,广东,2016-11-11
