player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,34:33,是,9-13,4-10,5-5,3,13,4,1,3,2,1,0,5,1/2,35,上海,2016-12-18
刘晓宇,10,38:50,是,2-5,2-8,2-2,0,6,7,0,1,5,1,0,3,0/0,12,上海,2016-12-18
张兆旭,23,34:42,是,4-7,0-0,3-3,2,7,0,2,2,2,7,0,2,0/0,11,上海,2016-12-18
翟逸,22,36:08,是,1-3,1-1,2-2,0,2,2,3,2,3,0,0,4,1/1,7,上海,2016-12-18
曾文鼎,76,23:48,是,1-1,1-2,0-0,0,2,1,2,0,2,1,1,0,1/1,5,上海,2016-12-18
亚布塞莱,16,35:13,否,9-13,1-7,4-5,6,9,0,2,2,4,3,2,4,3/3,25,上海,2016-12-18
卢伟,12,31:57,否,1-1,2-5,0-0,0,0,1,2,0,1,0,0,1,0/0,8,上海,2016-12-18
鞠鹏,9,02:17,否,0-0,0-0,0-0,0,0,0,2,0,2,0,0,0,0/0,0,上海,2016-12-18
葛暘,24,02:32,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,上海,2016-12-18
福特森,4,44:51,是,10-21,1-9,3-3,2,3,6,2,1,3,0,0,1,0/0,26,广厦,2016-12-18
胡金秋,21,36:09,是,7-11,0-0,0-0,2,7,0,2,2,0,0,1,1,1/1,14,广厦,2016-12-18
林志杰,27,35:59,是,5-15,0-5,0-0,1,5,2,0,2,2,0,0,2,0/0,10,广厦,2016-12-18
孙铭徽,17,25:36,是,3-7,0-2,1-2,1,2,2,0,1,1,1,0,4,0/1,7,广厦,2016-12-18
王征,13,32:41,是,2-5,0-0,2-2,5,6,1,4,0,2,0,0,1,0/0,6,广厦,2016-12-18
李京龙,9,37:34,否,0-0,4-10,0-0,0,2,0,3,2,1,0,0,1,0/1,12,广厦,2016-12-18
霍尔曼,32,23:15,否,4-15,0-0,1-2,11,3,1,6,1,2,0,2,1,1/1,9,广厦,2016-12-18
苏若禹,5,03:55,否,1-1,0-0,1-1,0,0,0,2,0,2,0,0,1,0/0,3,广厦,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,4,0,0,0,0,0,0,0,0,0/0,0,广厦,2016-12-18
