player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,39,是,6-13,3-10,10-11,0,4,2,2,1,3,0,0,7,0/0,31,上海,2017-12-24
曾文鼎,76,24,是,0-1,4-6,1-2,1,3,1,4,1,2,0,0,1,0/0,13,上海,2017-12-24
罗汉琛,33,40,是,2-5,2-3,1-1,1,2,2,2,1,0,0,0,2,0/0,11,上海,2017-12-24
张兆旭,23,25,是,2-3,0-0,1-2,1,5,2,6,2,3,4,0,1,0/0,5,上海,2017-12-24
翟逸,22,21,是,0-2,0-0,1-4,1,1,5,4,0,2,0,0,3,0/0,1,上海,2017-12-24
明纳拉斯,41,37,否,3-13,4-10,14-14,1,10,0,2,0,4,1,0,10,0/0,32,上海,2017-12-24
蔡亮,1,26,否,2-3,2-4,1-2,2,3,3,5,1,1,1,0,2,0/0,11,上海,2017-12-24
卢伟,12,22,否,0-0,3-11,0-0,1,2,2,3,2,0,0,0,1,0/0,9,上海,2017-12-24
董瀚麟,16,16,否,0-2,0-1,1-2,1,2,1,6,0,0,0,0,2,0/0,1,上海,2017-12-24
唐子豪,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
孟令源,5,10,否,0-0,0-1,0-0,0,2,0,2,0,1,0,0,0,0/0,0,上海,2017-12-24
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2017-12-24
克里斯顿,0,51,是,16-29,0-2,13-16,2,3,7,2,1,1,0,0,8,0/0,45,广州,2017-12-24
桑尼,1,32,是,5-15,0-1,7-10,7,11,1,3,0,4,0,0,6,0/0,17,广州,2017-12-24
罗旭东,9,41,是,2-5,1-3,2-3,1,1,3,6,3,4,0,0,3,0/0,9,广州,2017-12-24
郑准,50,33,是,3-5,0-3,0-0,1,7,0,4,1,1,3,0,0,0/0,6,广州,2017-12-24
鞠明欣,8,2,是,0-2,0-0,0-0,1,2,0,2,0,0,0,0,0,0/0,0,广州,2017-12-24
汉斯布鲁,11,25,否,10-15,0-0,6-8,5,6,0,1,1,1,2,2,9,0/0,26,广州,2017-12-24
胡珑贸,15,39,否,1-3,2-4,2-2,0,6,1,5,4,0,2,0,3,0/0,10,广州,2017-12-24
范子铭,13,9,否,1-2,0-1,0-0,0,2,1,1,0,0,0,0,1,0/0,2,广州,2017-12-24
谷玥灼,7,6,否,0-0,0-1,2-4,0,1,0,0,0,0,0,0,2,0/0,2,广州,2017-12-24
朱旭航,10,10,否,0-2,0-0,1-2,0,3,0,1,1,2,0,0,3,0/0,1,广州,2017-12-24
张帆,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
陈盈骏,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
衡艺丰,21,10,否,0-2,0-0,0-0,2,0,0,5,0,0,0,0,0,0/0,0,广州,2017-12-24
张晓磊,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
刘子豪,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
郭凯,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
骆永轩,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2017-12-24
