player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,40,是,9-16,6-13,5-5,0,8,6,2,3,1,0,0,8,0/0,41,上海,2018-11-18
张兆旭,23,37,是,7-11,0-0,0-0,7,9,0,2,2,0,5,3,2,0/0,14,上海,2018-11-18
蔡亮,1,38,是,5-13,1-2,0-2,0,7,1,1,2,0,0,0,1,0/0,13,上海,2018-11-18
罗旭东,13,30,是,3-7,1-3,4-7,1,1,6,5,3,1,0,0,5,0/0,13,上海,2018-11-18
王潼,25,15,是,0-2,0-0,0-0,2,5,0,3,0,0,0,0,0,0/0,0,上海,2018-11-18
路易斯-斯科拉,4,30,否,6-15,0-2,3-4,2,9,4,4,1,4,0,0,4,0/0,15,上海,2018-11-18
刘炜,8,25,否,2-9,0-1,1-2,2,1,2,3,0,0,0,0,1,0/0,5,上海,2018-11-18
卢伟,12,15,否,1-2,0-2,0-0,0,0,0,0,0,1,0,0,0,0/0,2,上海,2018-11-18
唐子豪,7,4,否,1-1,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,2,上海,2018-11-18
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
罗汉琛,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
董瀚麟,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
黄旭,3,0,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-11-18
亚当斯,4,43,是,11-14,3-13,5-7,2,10,6,4,0,5,0,0,6,0/0,36,新疆,2018-11-18
阿不都沙拉木,23,34,是,7-12,0-1,3-3,5,7,1,1,0,3,3,1,5,0/0,17,新疆,2018-11-18
可兰白克,13,38,是,0-1,1-5,0-0,2,6,1,3,2,1,0,0,0,0/0,3,新疆,2018-11-18
孙桐林,55,12,是,0-3,0-1,0-0,1,0,0,1,0,0,0,0,0,0/0,0,新疆,2018-11-18
周仪翔,27,6,是,0-1,0-0,0-0,0,2,1,0,0,1,0,0,0,0/0,0,新疆,2018-11-18
明纳拉斯,41,28,否,5-12,3-9,6-8,0,6,1,3,0,3,0,0,5,0/0,25,新疆,2018-11-18
俞长栋,7,21,否,2-4,2-3,0-0,3,8,1,3,0,2,0,0,0,0/0,10,新疆,2018-11-18
范子铭,17,14,否,1-5,0-0,0-0,3,2,0,1,2,2,0,0,1,0/0,2,新疆,2018-11-18
曾令旭,6,12,否,1-2,0-1,0-0,0,0,1,2,0,0,0,0,1,0/0,2,新疆,2018-11-18
王子瑞,28,17,否,0-1,0-2,0-0,0,0,4,3,1,1,0,0,1,0/0,0,新疆,2018-11-18
姜文,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-18
刘羽楠,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-18
侯沛佐,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-18
唐才育,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-18
李根,1,10,否,0-2,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-18
邓群飞,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-11-18
