player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,48:00,是,11-16,3-8,15-15,0,8,5,0,1,4,0,0,10,0/0,46,上海,2016-12-28
翟逸,22,23:23,是,3-4,0-0,4-8,2,1,1,3,1,0,0,0,4,0/0,10,上海,2016-12-28
曾文鼎,76,27:27,是,0-0,3-5,0-0,0,3,2,2,1,2,0,0,0,0/0,9,上海,2016-12-28
卢伟,12,07:22,是,0-0,0-0,0-0,0,0,1,0,0,1,0,0,1,0/0,0,上海,2016-12-28
吴冠希,11,06:06,是,0-0,0-0,0-0,0,1,0,1,0,1,0,0,1,0/0,0,上海,2016-12-28
亚布塞莱,16,24:00,否,5-8,2-4,3-5,1,4,1,2,1,3,0,2,4,0/0,19,上海,2016-12-28
刘晓宇,10,40:38,否,4-13,2-7,0-0,1,2,6,1,1,0,0,0,1,1/1,14,上海,2016-12-28
蔡亮,1,24:37,否,3-5,1-2,0-0,3,7,0,2,0,0,0,0,1,2/2,9,上海,2016-12-28
张兆旭,23,32:46,否,2-3,0-0,0-4,2,5,1,1,0,0,2,1,2,0/0,4,上海,2016-12-28
鞠鹏,9,05:41,否,0-0,1-2,0-0,0,1,0,1,0,0,0,0,0,0/0,3,上海,2016-12-28
唐子豪,7,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2016-12-28
未确认,--,--,--,0-0,0-0,0-0,4,2,0,0,0,2,0,0,0,0/0,0,上海,2016-12-28
布鲁克斯,2,44:11,是,10-19,6-13,7-7,0,4,6,3,3,4,0,0,7,0/0,45,江苏,2016-12-28
易立,8,32:54,是,0-2,4-5,0-0,0,4,2,4,0,1,2,0,1,0/0,12,江苏,2016-12-28
曹飞,23,38:36,是,3-3,2-4,0-0,0,2,1,3,2,1,0,0,0,2/2,12,江苏,2016-12-28
李原宇,16,29:42,是,2-5,0-0,0-0,7,1,0,2,1,1,1,0,0,0/0,4,江苏,2016-12-28
常林,45,31:39,是,0-2,1-5,0-0,2,9,1,4,1,3,0,0,0,0/0,3,江苏,2016-12-28
萨缪尔斯,24,19:13,否,5-12,0-0,4-6,2,6,1,0,0,2,1,1,4,0/0,14,江苏,2016-12-28
侯逸凡,31,22:59,否,3-3,0-1,0-0,0,1,2,2,0,0,0,0,0,0/0,6,江苏,2016-12-28
刘亚晖,9,15:26,否,0-2,1-1,0-0,0,0,0,6,0,2,0,0,0,0/0,3,江苏,2016-12-28
陈磊,22,05:20,否,0-0,0-2,2-2,0,0,0,0,0,1,0,0,1,0/0,2,江苏,2016-12-28
未确认,--,--,--,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,江苏,2016-12-28
