player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,33:12,是,7-11,5-10,2-2,1,5,5,2,1,1,0,0,4,0/0,31,上海,2016-12-21
刘晓宇,10,35:50,是,4-6,4-7,2-2,1,1,4,0,0,0,0,0,1,2/2,22,上海,2016-12-21
张兆旭,23,22:47,是,4-5,0-0,1-1,2,5,0,4,0,0,1,3,2,0/0,9,上海,2016-12-21
翟逸,22,16:30,是,3-4,0-0,2-2,3,0,1,4,1,0,0,1,2,0/0,8,上海,2016-12-21
曾文鼎,76,09:28,是,1-1,0-1,0-0,0,0,1,0,0,0,0,0,0,0/0,2,上海,2016-12-21
亚布塞莱,16,35:43,否,8-12,3-6,5-5,1,3,4,3,3,2,0,3,3,2/2,30,上海,2016-12-21
卢伟,12,31:01,否,1-3,5-8,0-0,0,1,2,1,0,1,0,0,0,1/1,17,上海,2016-12-21
吴冠希,11,15:00,否,4-5,0-0,0-0,1,3,1,3,1,1,1,0,1,0/0,8,上海,2016-12-21
唐子豪,7,05:55,否,3-3,0-1,0-0,1,1,2,0,0,0,0,0,0,0/0,6,上海,2016-12-21
葛暘,24,14:02,否,2-2,0-0,0-0,0,0,0,1,1,0,0,0,1,1/1,4,上海,2016-12-21
任鹏鹏,3,05:55,否,0-1,0-1,0-0,1,0,0,0,0,1,0,0,0,0/0,0,上海,2016-12-21
鞠鹏,9,14:37,否,0-1,0-0,0-0,2,2,5,2,1,0,1,0,0,0/0,0,上海,2016-12-21
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,上海,2016-12-21
威利-沃伦,32,39:26,是,10-13,3-4,5-7,1,4,8,2,1,4,0,0,9,1/1,34,浙江,2016-12-21
张大宇,24,19:55,是,2-4,0-1,3-3,0,1,0,1,0,1,0,0,2,0/0,7,浙江,2016-12-21
张永鹏,76,35:29,是,3-8,0-0,0-0,1,3,1,1,1,2,0,0,2,0/0,6,浙江,2016-12-21
陆文博,8,11:22,是,1-2,0-1,0-0,1,0,2,3,0,0,0,0,1,0/0,2,浙江,2016-12-21
夏钰博,15,10:28,是,0-2,0-1,0-0,0,2,0,1,0,2,0,0,0,0/0,0,浙江,2016-12-21
洛伦佐-布朗,23,32:34,否,11-17,1-5,1-2,2,3,2,1,0,2,1,1,3,1/1,26,浙江,2016-12-21
吴前,33,35:27,否,6-7,0-1,0-0,4,0,0,0,1,1,0,0,0,0/0,12,浙江,2016-12-21
赖俊豪,17,33:07,否,3-4,0-3,0-0,2,5,1,4,1,3,0,0,3,1/1,6,浙江,2016-12-21
卢艺文,11,08:25,否,0-0,1-2,0-0,0,2,0,0,0,0,0,0,0,0/0,3,浙江,2016-12-21
张正昕,28,07:29,否,1-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,2,浙江,2016-12-21
刘丰博,2,08:50,否,0-0,0-2,0-0,0,0,0,0,0,0,0,0,0,0/0,0,浙江,2016-12-21
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,2,0,0,0,0/0,0,浙江,2016-12-21
