player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,41,是,9-20,1-5,6-10,2,3,2,2,5,4,0,0,9,0/0,27,上海,2018-02-08
蔡亮,1,44,是,3-3,2-4,0-0,0,7,4,3,3,1,1,0,2,0/0,12,上海,2018-02-08
罗汉琛,33,34,是,3-8,0-0,0-0,0,0,2,3,2,0,0,0,3,0/0,6,上海,2018-02-08
曾文鼎,76,16,是,1-1,1-4,0-0,1,1,2,2,0,0,0,0,0,0/0,5,上海,2018-02-08
张兆旭,23,29,是,2-3,0-0,0-0,0,6,0,5,1,2,4,0,1,0/0,4,上海,2018-02-08
明纳拉斯,41,30,否,4-7,4-8,12-13,2,7,0,0,0,3,0,0,6,0/0,32,上海,2018-02-08
卢伟,12,20,否,1-4,1-2,0-0,0,1,0,0,0,0,0,0,0,0/0,5,上海,2018-02-08
董瀚麟,16,19,否,1-1,0-0,0-0,1,2,1,5,0,0,0,0,1,0/0,2,上海,2018-02-08
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
唐子豪,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
翟逸,22,3,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-02-08
萨林杰,0,44,是,11-19,3-8,6-6,4,12,2,2,1,3,1,0,8,0/0,37,深圳,2018-02-08
顾全,12,28,是,4-8,0-2,0-0,2,1,0,3,2,2,0,0,3,0/0,8,深圳,2018-02-08
白昊天,10,20,是,0-4,1-2,1-2,1,2,0,4,0,1,0,0,1,0/0,4,深圳,2018-02-08
李慕豪,9,22,是,1-1,0-0,1-4,0,1,0,1,0,2,0,0,2,0/0,3,深圳,2018-02-08
何忠勉,20,23,是,0-0,0-1,0-0,4,4,0,4,1,3,0,0,1,0/0,0,深圳,2018-02-08
孟铎,3,31,否,3-7,2-7,0-0,0,1,3,3,0,2,0,0,1,0/0,12,深圳,2018-02-08
沈梓捷,11,23,否,5-9,0-0,1-2,3,6,0,2,1,2,1,1,2,0/0,11,深圳,2018-02-08
泰瑞斯-莱斯,4,27,否,1-4,1-5,1-2,1,2,5,1,0,2,0,0,1,0/0,6,深圳,2018-02-08
张凯,7,2,否,0-0,0-0,1-2,0,0,0,0,0,0,0,0,1,0/0,1,深圳,2018-02-08
邱彪,13,15,否,0-0,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,0,深圳,2018-02-08
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
于德豪,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
杨林祎,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
郭晓鹏,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
卢艺文,55,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-02-08
