player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
亚布塞莱,16,37:26,是,13-17,0-3,7-8,8,8,3,4,3,6,1,3,8,1/1,33,上海,2017-01-20
卢伟,12,26:46,是,2-3,2-5,2-2,0,4,2,2,1,1,0,0,0,0/0,12,上海,2017-01-20
翟逸,22,26:55,是,4-4,0-1,1-3,0,3,4,5,1,2,0,2,2,0/0,9,上海,2017-01-20
张兆旭,23,12:17,是,4-4,0-0,0-0,0,3,0,1,0,0,0,3,0,0/0,8,上海,2017-01-20
刘晓宇,10,21:57,是,2-5,1-4,0-0,1,3,4,0,2,1,0,0,1,1/1,7,上海,2017-01-20
弗雷戴特,32,32:04,否,8-13,2-12,4-5,0,6,3,2,1,1,1,0,4,1/1,26,上海,2017-01-20
吴冠希,11,14:25,否,3-5,0-0,2-3,4,2,1,1,1,1,1,0,5,0/0,8,上海,2017-01-20
蔡亮,1,29:28,否,0-1,2-6,2-2,1,7,0,4,2,1,0,0,1,0/0,8,上海,2017-01-20
葛暘,24,13:56,否,1-2,1-2,0-0,0,0,1,2,0,1,0,0,0,0/0,5,上海,2017-01-20
任鹏鹏,3,05:43,否,1-2,0-0,0-0,0,0,0,0,2,1,0,0,1,1/1,2,上海,2017-01-20
鞠鹏,9,10:25,否,0-0,0-0,1-2,1,2,2,1,0,1,0,0,1,0/0,1,上海,2017-01-20
曾文鼎,76,08:38,否,0-0,0-0,0-0,0,1,2,0,0,0,0,0,0,0/0,0,上海,2017-01-20
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,0,0,0,0,0/0,0,上海,2017-01-20
德怀特-拜克斯,38,34:26,是,3-7,4-10,6-8,2,5,3,1,1,2,0,0,6,0/0,24,福建,2017-01-20
赵泰隆,9,32:23,是,3-6,4-11,5-6,2,1,0,3,0,2,0,0,3,0/0,23,福建,2017-01-20
黄毅超,14,42:29,是,0-0,5-11,2-3,1,6,4,2,1,2,0,0,1,0/0,17,福建,2017-01-20
孙喆,41,15:23,是,1-3,0-0,2-4,2,1,0,1,0,0,2,0,2,0/0,4,福建,2017-01-20
郭磊,11,23:07,是,0-1,0-5,1-2,0,4,2,4,0,3,0,0,1,0/0,1,福建,2017-01-20
孙椿棚,13,11:24,否,2-2,0-0,2-2,1,4,0,1,1,2,0,0,3,0/0,6,福建,2017-01-20
陈林坚,15,28:51,否,1-2,1-10,1-1,0,2,1,3,1,3,0,0,0,1/1,6,福建,2017-01-20
胡珑贸,10,23:29,否,0-0,1-3,3-4,0,3,0,4,1,2,1,0,4,0/0,6,福建,2017-01-20
李江淮,5,13:34,否,2-3,0-1,0-0,0,1,4,0,3,1,1,0,0,1/1,4,福建,2017-01-20
田雨晨,12,14:54,否,1-1,0-1,0-0,0,1,0,5,1,2,0,0,0,0/0,2,福建,2017-01-20
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,0,0,0,0,0/0,0,福建,2017-01-20
