player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,41,是,8-15,5-11,6-6,2,7,9,1,3,4,0,0,4,0/0,37,上海,2018-10-25
罗旭东,13,18,是,3-5,1-2,0-0,1,0,0,3,2,0,0,0,1,0/0,9,上海,2018-10-25
唐子豪,7,22,是,3-8,0-1,2-4,2,1,1,1,1,1,0,0,3,0/0,8,上海,2018-10-25
蔡亮,1,34,是,3-9,0-2,0-0,3,5,3,1,0,1,0,0,0,0/0,6,上海,2018-10-25
张兆旭,23,21,是,2-6,0-0,0-1,2,4,2,0,1,1,2,1,3,0/0,4,上海,2018-10-25
路易斯-斯科拉,4,30,否,6-7,0-3,4-8,2,4,0,3,0,1,1,0,5,0/0,16,上海,2018-10-25
刘炜,8,21,否,4-5,0-0,0-0,2,4,2,1,2,1,0,0,1,0/0,8,上海,2018-10-25
卢伟,12,6,否,1-1,1-2,3-3,1,1,0,1,0,0,0,0,1,0/0,8,上海,2018-10-25
董瀚麟,16,26,否,4-9,0-0,0-0,7,4,0,4,0,2,1,2,0,0/0,8,上海,2018-10-25
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
施宇晨,47,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
罗智,27,4,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,上海,2018-10-25
罗汉琛,33,10,否,0-3,0-0,0-0,1,0,2,0,0,1,0,0,0,0/0,0,上海,2018-10-25
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
朱瀛,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
田雨晨,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-10-25
郭艾伦,13,40,是,6-9,4-10,1-3,0,5,3,4,0,5,1,0,3,0/0,25,辽宁,2018-10-25
哈德森,14,37,是,2-4,6-13,0-1,4,6,6,1,0,3,0,0,1,0/0,22,辽宁,2018-10-25
李晓旭,22,31,是,3-5,1-3,0-4,3,1,1,2,0,1,0,1,2,0/0,9,辽宁,2018-10-25
丛明晨,10,25,是,0-0,1-4,0-0,1,1,0,5,1,0,0,0,1,0/0,3,辽宁,2018-10-25
韩德君,55,19,是,0-5,0-1,0-0,4,2,4,1,0,1,1,0,1,0/0,0,辽宁,2018-10-25
巴斯,30,34,否,8-17,0-0,6-8,1,7,2,0,2,2,1,3,5,0/0,22,辽宁,2018-10-25
贺天举,6,22,否,3-3,0-4,0-0,0,3,0,0,2,0,0,0,0,0/0,6,辽宁,2018-10-25
杨鸣,12,21,否,2-2,0-1,0-0,1,2,2,2,1,0,0,0,2,0/0,4,辽宁,2018-10-25
赵继伟,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-25
高诗岩,0,5,否,0-0,0-0,0-0,0,0,1,1,1,1,0,0,0,0/0,0,辽宁,2018-10-25
郭旭,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-25
刘志轩,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-25
钟诚,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-25
孙锴祺,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-25
卫猛,23,2,否,0-0,0-0,0-0,0,0,1,2,1,0,0,0,0,0/0,0,辽宁,2018-10-25
鄢手骐,36,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2018-10-25
