player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
弗雷戴特,32,39:43,是,9-15,2-10,13-13,1,13,3,3,1,3,1,0,12,0/0,37,上海,2017-02-05
刘晓宇,10,41:07,是,3-11,3-7,2-2,1,2,6,6,1,2,0,0,1,0/0,17,上海,2017-02-05
张兆旭,23,34:57,是,2-7,0-0,6-8,6,4,1,1,0,1,3,1,4,0/0,10,上海,2017-02-05
曾文鼎,76,10:19,是,1-1,0-0,0-0,0,1,1,2,0,0,0,0,1,0/0,2,上海,2017-02-05
翟逸,22,15:13,是,0-1,0-0,2-2,1,0,0,6,0,0,0,0,1,0/0,2,上海,2017-02-05
亚布塞莱,16,32:17,否,4-5,4-10,4-6,2,6,1,2,1,3,4,2,5,3/3,24,上海,2017-02-05
卢伟,12,27:41,否,0-1,3-4,3-4,0,3,2,1,0,0,0,0,2,0/0,12,上海,2017-02-05
蔡亮,1,26:17,否,2-3,0-2,1-2,2,1,2,5,2,3,0,0,2,0/0,5,上海,2017-02-05
葛暘,24,02:39,否,0-0,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,3,上海,2017-02-05
鞠鹏,9,05:59,否,1-4,0-1,0-0,2,0,1,0,0,0,0,0,0,0/0,2,上海,2017-02-05
吴冠希,11,03:48,否,0-0,0-0,1-2,1,0,0,1,0,0,0,0,1,0/0,1,上海,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,1,0,0,0,0/0,0,上海,2017-02-05
琼斯,55,44:18,是,9-21,1-3,7-9,2,8,8,3,0,3,2,0,11,0/0,28,青岛,2017-02-05
苏伟,9,36:50,是,7-10,0-0,2-3,5,6,0,4,0,1,0,0,3,0/0,16,青岛,2017-02-05
孙杰,17,38:21,是,3-5,2-2,1-1,1,1,1,6,1,1,0,0,3,0/0,13,青岛,2017-02-05
王庆明,32,21:16,是,4-4,0-0,0-0,0,0,1,4,1,2,0,0,1,0/0,8,青岛,2017-02-05
刁成灏,27,10:58,是,0-0,0-3,0-0,0,0,1,3,0,0,0,0,1,0/0,0,青岛,2017-02-05
张骋宇,6,33:02,否,4-9,1-3,7-8,0,2,3,0,2,3,0,0,4,0/0,18,青岛,2017-02-05
卢卡斯,1,27:42,否,5-11,0-4,2-2,5,8,1,4,3,2,1,0,3,1/1,12,青岛,2017-02-05
田嘉夫,14,08:34,否,0-0,3-3,2-2,0,0,0,2,0,0,0,0,0,0/0,11,青岛,2017-02-05
孟令源,5,13:08,否,0-2,1-1,0-0,0,1,1,2,0,0,0,0,1,0/0,3,青岛,2017-02-05
刘书楠,7,05:51,否,0-1,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,青岛,2017-02-05
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,1,0,0,0,0/0,0,青岛,2017-02-05
