player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
韩硕,33,36:42,是,6-11,2-5,5-5,0,3,3,1,0,4,0,0,6,0/0,23,八一,2016-12-04
雷蒙,11,41:03,是,2-3,3-8,5-5,5,1,4,5,1,2,1,0,4,0/0,18,八一,2016-12-04
许钟豪,24,42:39,是,5-14,0-0,2-8,1,9,2,3,3,3,2,1,4,0/0,12,八一,2016-12-04
邹雨宸,10,30:29,是,6-12,0-2,0-0,4,5,0,2,1,1,2,1,3,0/0,12,八一,2016-12-04
德勒黑,22,23:48,是,2-4,0-3,0-0,0,1,1,2,2,1,1,0,0,1/1,4,八一,2016-12-04
付豪,1,22:52,否,3-8,0-0,0-1,1,5,0,2,0,1,0,0,1,0/0,6,八一,2016-12-04
阿尔斯兰,5,22:56,否,1-5,0-1,0-0,1,1,2,0,0,1,0,0,0,0/0,2,八一,2016-12-04
曹岩,8,12:01,否,0-0,0-3,0-0,0,0,0,2,0,1,0,0,0,0/0,0,八一,2016-12-04
张祖铭,20,07:30,否,0-1,0-1,0-0,1,0,0,2,1,0,0,0,0,0/0,0,八一,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,八一,2016-12-04
张兆旭,23,37:35,是,6-9,0-0,6-7,2,11,1,1,0,1,1,2,4,0/0,18,上海,2016-12-04
刘晓宇,10,37:15,是,3-7,2-3,3-4,1,2,1,4,1,5,0,0,3,1/1,15,上海,2016-12-04
卢伟,12,29:50,是,1-3,3-10,0-0,1,2,1,2,0,2,0,0,0,0/0,11,上海,2016-12-04
曾文鼎,76,18:54,是,0-0,1-1,0-0,0,1,5,3,0,1,0,0,1,0/0,3,上海,2016-12-04
翟逸,22,27:41,是,0-2,0-0,0-0,2,3,1,4,1,2,0,0,2,0/0,0,上海,2016-12-04
弗雷戴特,32,34:47,否,10-16,3-10,7-8,0,10,5,1,5,5,0,0,7,1/1,36,上海,2016-12-04
亚布塞莱,16,13:13,否,1-4,1-1,0-0,0,4,1,0,0,1,0,1,0,1/1,5,上海,2016-12-04
鞠鹏,9,26:18,否,1-3,1-1,0-0,0,4,1,2,0,2,0,0,1,0/0,5,上海,2016-12-04
蔡亮,1,14:27,否,0-2,0-0,0-0,0,2,1,2,0,0,0,0,1,0/0,0,上海,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,上海,2016-12-04
