player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
付豪,1,39,是,9-18,0-0,7-7,6,5,1,4,0,2,0,0,6,0/0,25,八一,2018-02-07
阿尔斯兰,5,22,是,5-7,1-1,3-3,0,1,4,1,0,0,1,0,3,0/0,16,八一,2018-02-07
德勒黑,22,20,是,2-2,2-3,0-0,0,3,0,4,1,3,0,0,1,0/0,10,八一,2018-02-07
罗凯文,13,10,是,0-2,0-2,0-0,0,2,0,0,0,1,0,0,0,0/0,0,八一,2018-02-07
张祖铭,20,18,是,0-2,0-1,0-0,1,3,0,1,0,0,0,0,0,0/0,0,八一,2018-02-07
雷蒙,11,41,否,6-7,4-9,1-2,1,7,2,3,0,3,0,0,2,0/0,25,八一,2018-02-07
田宇翔,7,25,否,3-7,1-3,0-0,1,1,2,2,0,1,0,0,2,0/0,9,八一,2018-02-07
宁鸿宇,16,10,否,2-4,0-0,0-0,1,1,0,1,0,0,1,0,0,0/0,4,八一,2018-02-07
李天戈,6,18,否,2-3,0-4,0-0,1,0,1,1,0,1,0,0,0,0/0,4,八一,2018-02-07
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-07
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-07
刘航初,9,25,否,0-3,0-1,0-0,1,6,1,3,1,2,1,0,1,0/0,0,八一,2018-02-07
曹岩,8,6,否,0-0,0-1,0-0,0,0,0,0,0,1,0,0,0,0/0,0,八一,2018-02-07
许钟豪,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-07
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-07
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-02-07
杨敬敏,6,47,是,6-9,2-8,4-4,0,6,8,1,2,4,0,0,2,0/0,22,北控,2018-02-07
于梁,11,32,是,3-8,1-2,4-6,2,1,1,3,1,0,0,0,4,0/0,13,北控,2018-02-07
威尔-阿拉基,23,26,是,4-7,0-2,3-4,0,5,4,2,0,2,0,0,7,0/0,11,北控,2018-02-07
王征,28,17,是,2-4,0-0,0-0,2,2,0,0,1,2,1,0,0,0/0,4,北控,2018-02-07
许梦君,9,10,是,0-0,0-2,0-0,1,1,1,0,0,0,0,0,0,0/0,0,北控,2018-02-07
兰多夫,42,22,否,12-19,1-3,3-3,4,7,1,3,0,1,0,3,4,0/0,30,北控,2018-02-07
杨庚霖,10,23,否,4-5,0-2,2-4,0,6,1,3,0,0,0,0,3,0/0,10,北控,2018-02-07
于澍龙,5,33,否,1-2,1-3,0-0,1,2,5,2,3,1,0,0,0,0/0,5,北控,2018-02-07
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
李雪松,7,5,否,0-1,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
马布里,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
贺希宁,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
滕贺麒,8,21,否,0-1,0-2,0-0,0,0,2,1,0,0,0,0,0,0/0,0,北控,2018-02-07
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-02-07
