player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
雷蒙,11,31,是,3-5,3-9,6-7,0,5,2,1,2,3,0,0,6,0/0,21,八一,2017-12-26
刘航初,9,33,是,4-8,1-3,4-6,1,3,4,4,0,2,0,0,3,0/0,15,八一,2017-12-26
张祖铭,20,29,是,2-5,2-7,2-2,3,1,1,1,4,0,1,1,1,0/0,12,八一,2017-12-26
阿尔斯兰,5,27,是,1-2,2-3,2-2,0,1,5,4,2,2,0,0,2,0/0,10,八一,2017-12-26
许钟豪,24,39,是,4-7,0-0,0-0,1,9,4,4,2,1,2,0,3,0/0,8,八一,2017-12-26
付豪,1,26,否,9-11,0-0,4-5,1,10,3,4,0,2,0,0,5,0/0,22,八一,2017-12-26
罗凯文,13,26,否,1-3,2-2,4-5,2,4,1,1,0,1,0,0,4,0/0,12,八一,2017-12-26
田宇翔,7,21,否,3-6,0-2,0-0,0,3,2,2,1,2,0,0,0,0/0,6,八一,2017-12-26
宁鸿宇,16,3,否,1-2,0-0,0-0,1,0,0,0,0,0,1,0,0,0/0,2,八一,2017-12-26
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
李天戈,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
德勒黑,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2017-12-26
韦弗,13,28,是,8-16,2-7,3-4,0,1,4,2,1,4,0,1,2,0/0,25,吉林,2017-12-26
崔晋铭,5,35,是,2-7,3-3,0-1,0,3,4,3,2,1,0,0,1,0/0,13,吉林,2017-12-26
李安,4,26,是,3-7,0-0,2-2,6,4,0,2,0,0,0,0,1,0/0,8,吉林,2017-12-26
张彪,14,22,是,4-6,0-0,0-0,0,2,1,5,1,0,0,0,1,0/0,8,吉林,2017-12-26
高诗岩,0,36,是,2-9,0-1,1-2,1,4,6,4,2,2,0,0,4,0/0,5,吉林,2017-12-26
代怀博,22,21,否,6-8,1-1,2-5,2,5,0,2,0,0,0,0,5,0/0,17,吉林,2017-12-26
兰德里,24,19,否,4-9,0-0,7-7,1,5,0,1,0,4,0,0,5,0/0,15,吉林,2017-12-26
柴长易,6,24,否,0-1,1-5,0-0,1,0,3,3,3,0,0,0,0,0/0,3,吉林,2017-12-26
廉明,10,4,否,0-1,1-1,0-0,1,0,0,0,0,0,0,0,0,0/0,3,吉林,2017-12-26
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-26
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-26
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-26
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-26
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-26
蔡李龙,20,8,否,0-1,0-1,0-0,0,2,0,1,0,0,0,0,0,0/0,0,吉林,2017-12-26
姚天一,3,11,否,0-0,0-0,0-0,1,3,1,1,0,1,0,0,1,0/0,0,吉林,2017-12-26
