player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
邹雨宸,10,41:42,是,7-15,1-2,6-8,5,6,2,3,2,2,2,1,6,0/0,23,八一,2017-01-11
雷蒙,11,39:49,是,2-4,3-5,2-2,0,3,4,4,0,3,0,0,5,0/0,15,八一,2017-01-11
许钟豪,24,28:57,是,4-9,0-0,4-4,3,2,2,3,1,1,1,0,4,0/0,12,八一,2017-01-11
李天戈,6,15:43,是,1-3,1-2,0-0,0,1,1,1,0,0,0,0,0,0/0,5,八一,2017-01-11
刘航初,9,21:09,是,0-4,0-0,0-0,1,4,1,2,0,2,1,0,0,0/0,0,八一,2017-01-11
阿尔斯兰,5,32:08,否,1-9,4-4,3-4,1,1,3,2,0,3,0,0,3,0/0,17,八一,2017-01-11
张祖铭,20,33:48,否,5-8,2-6,0-0,0,3,0,5,2,2,0,1,4,1/2,16,八一,2017-01-11
付豪,1,20:58,否,5-8,0-0,3-3,1,2,2,5,0,0,0,0,0,0/0,13,八一,2017-01-11
余晨,15,04:23,否,0-0,0-0,1-2,2,0,1,1,1,0,0,0,1,0/0,1,八一,2017-01-11
德勒黑,22,01:23,否,0-0,0-0,0-0,0,0,0,0,0,2,0,0,0,0/0,0,八一,2017-01-11
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,1,1,0,0,0,0/0,0,八一,2017-01-11
康宁汉姆,6,31:28,是,4-11,4-8,11-13,1,5,0,5,2,3,1,2,11,0/0,31,同曦,2017-01-11
冯欣,66,46:37,是,5-9,1-2,2-2,1,0,6,3,4,2,0,0,4,0/0,15,同曦,2017-01-11
唐正东,9,38:14,是,6-13,0-0,0-0,4,7,3,5,1,2,0,0,0,0/0,12,同曦,2017-01-11
范成林,35,36:03,是,5-6,0-3,2-2,2,3,0,3,1,2,0,0,1,0/0,12,同曦,2017-01-11
宋建骅,8,39:54,是,3-4,1-2,1-1,1,3,1,0,2,5,1,0,2,0/0,10,同曦,2017-01-11
迪奥古,50,16:32,否,2-5,3-4,4-4,0,5,0,1,0,2,0,1,4,0/0,17,同曦,2017-01-11
买尔丹,33,09:46,否,0-1,0-0,4-4,0,1,1,2,0,0,0,0,2,0/0,4,同曦,2017-01-11
于长春,24,20:03,否,0-1,1-2,0-1,1,0,2,5,0,0,0,0,1,0/0,3,同曦,2017-01-11
张财宝,22,01:23,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,同曦,2017-01-11
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,1,1,0,0,0,0/0,0,同曦,2017-01-11
