player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
付豪,1,32,是,9-16,0-0,7-9,10,5,1,1,1,3,0,1,5,0/0,25,八一,2018-12-16
雷蒙,11,37,是,2-6,3-13,0-2,2,1,2,3,2,0,1,0,2,0/0,13,八一,2018-12-16
许钟豪,27,32,是,4-8,0-0,3-3,3,4,0,4,0,0,0,0,3,0/0,11,八一,2018-12-16
田宇翔,7,34,是,3-7,1-1,2-4,0,2,2,0,2,3,0,0,3,0/0,11,八一,2018-12-16
韩硕,33,20,是,0-0,0-5,0-0,0,4,7,1,0,1,0,0,1,0/0,0,八一,2018-12-16
郭昊文,26,31,否,4-9,0-2,9-10,0,3,3,5,0,0,0,0,6,0/0,17,八一,2018-12-16
宁鸿宇,16,18,否,1-1,1-1,2-2,1,0,1,2,0,0,0,1,2,0/0,7,八一,2018-12-16
阿尔斯兰,5,13,否,1-1,0-5,0-0,0,0,0,2,0,0,0,0,0,0/0,2,八一,2018-12-16
张旭,13,4,否,1-1,0-1,0-0,1,0,0,0,0,0,0,0,1,0/0,2,八一,2018-12-16
张祖铭,20,2,否,0-1,0-1,0-0,0,1,1,1,0,0,0,0,0,0/0,0,八一,2018-12-16
罗凯文,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-12-16
李天戈,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-12-16
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-12-16
余晨,15,13,否,0-4,0-0,0-0,2,5,0,2,0,0,0,0,0,0/0,0,八一,2018-12-16
胡彤浩,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-12-16
刘航初,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-12-16
罗切斯特,22,46,是,7-17,6-15,9-9,1,4,10,0,0,2,0,0,6,0/0,41,天津,2018-12-16
金鑫,10,44,是,7-8,0-1,4-4,2,9,2,4,1,2,1,0,5,0/0,18,天津,2018-12-16
时德帅,23,45,是,4-7,0-2,6-8,3,7,1,3,1,0,0,0,6,0/0,14,天津,2018-12-16
刘伟,21,27,是,5-6,0-0,0-0,0,3,1,2,0,1,2,1,2,0/0,10,天津,2018-12-16
李荣培,7,33,是,4-9,0-3,0-0,0,1,1,3,0,2,0,0,0,0/0,8,天津,2018-12-16
徐磊,5,14,否,2-2,0-1,0-0,0,3,0,6,0,1,0,0,0,0/0,4,天津,2018-12-16
于刚,77,8,否,1-2,0-0,0-0,0,3,0,3,0,0,0,0,1,0/0,2,天津,2018-12-16
史仪,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
田野,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
韩博林,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
高森堡,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
张智涵,9,6,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,天津,2018-12-16
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
阿尔德里奇,45,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
栾晓君,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
田雨,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
张晓阳,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-12-16
刘帅,12,13,否,0-0,0-0,0-0,0,1,0,2,0,1,0,0,1,0/0,0,天津,2018-12-16
