player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
张祖铭,20,36:31,是,4-9,4-11,1-1,1,3,0,5,0,2,0,0,1,1/1,21,八一,2016-12-23
韩硕,33,21:23,是,2-2,0-3,2-2,1,1,2,1,0,3,0,0,6,0/0,6,八一,2016-12-23
邹雨宸,10,24:08,是,2-7,0-0,1-2,2,6,2,6,0,3,1,1,4,0/0,5,八一,2016-12-23
付豪,1,18:09,是,1-2,0-0,0-2,0,6,1,3,0,5,0,0,3,0/0,2,八一,2016-12-23
曹岩,8,13:00,是,0-2,0-2,0-0,0,2,0,1,1,0,0,0,0,0/0,0,八一,2016-12-23
李天戈,6,26:37,否,4-6,2-4,3-4,0,3,5,2,2,4,0,0,5,1/1,17,八一,2016-12-23
刘航初,9,22:03,否,2-4,0-0,4-5,0,3,1,2,1,1,0,0,3,0/1,8,八一,2016-12-23
宁鸿宇,16,20:15,否,3-6,0-0,0-0,0,1,1,2,0,1,1,1,0,1/1,6,八一,2016-12-23
雷蒙,11,24:26,否,0-2,2-6,0-0,2,4,0,1,1,0,0,0,1,0/0,6,八一,2016-12-23
许钟豪,24,30:02,否,1-4,0-0,2-6,1,5,0,4,0,1,2,0,5,0/0,4,八一,2016-12-23
余晨,15,03:26,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,八一,2016-12-23
未确认,--,--,--,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,0/0,0,八一,2016-12-23
丁彦雨航,2,41:16,是,9-14,0-3,9-9,0,5,1,3,3,3,0,1,9,2/2,27,山东,2016-12-23
贾森-汤普森,1,32:57,是,5-11,0-0,3-4,2,10,1,6,2,4,4,0,6,0/0,13,山东,2016-12-23
吴轲,15,32:26,是,4-12,0-1,3-6,3,2,0,3,1,1,1,0,3,0/0,11,山东,2016-12-23
睢冉,6,37:40,是,3-6,1-1,1-2,0,3,3,4,3,1,1,0,2,2/2,10,山东,2016-12-23
张辉,4,23:44,是,1-3,0-3,1-2,0,2,1,4,0,1,0,0,3,0/0,3,山东,2016-12-23
李敬宇,8,27:10,否,1-2,4-8,0-0,0,1,2,3,2,1,0,0,1,0/0,14,山东,2016-12-23
潘宁,5,12:53,否,0-0,0-1,4-4,0,1,0,3,0,1,0,0,3,0/0,4,山东,2016-12-23
杨力,19,24:23,否,1-1,0-2,0-0,0,3,2,1,4,0,0,0,0,0/0,2,山东,2016-12-23
曹振华,11,01:17,否,0-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/1,0,山东,2016-12-23
李泓翰,7,06:14,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,山东,2016-12-23
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,1,0,0,0,0/0,0,山东,2016-12-23
