player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
雷蒙,11,25,是,6-8,1-6,1-1,2,2,1,3,2,0,0,0,2,0/0,16,八一,2018-01-07
宁鸿宇,16,35,是,6-6,0-1,0-1,2,4,1,6,0,1,0,1,0,0/0,12,八一,2018-01-07
许钟豪,24,26,是,4-9,0-1,2-4,1,5,3,2,0,1,1,0,3,0/0,10,八一,2018-01-07
张祖铭,20,27,是,1-2,2-8,1-3,2,1,0,4,0,0,0,0,3,0/0,9,八一,2018-01-07
田宇翔,7,21,是,0-4,0-2,0-0,0,4,4,1,2,2,0,0,0,0/0,0,八一,2018-01-07
刘航初,9,27,否,2-4,2-3,4-4,0,4,0,3,0,2,0,0,3,0/0,14,八一,2018-01-07
阿尔斯兰,5,21,否,1-4,1-5,1-2,0,1,1,0,2,0,0,0,2,0/0,6,八一,2018-01-07
曹岩,8,18,否,2-6,0-2,1-2,2,1,0,1,0,1,1,0,1,0/0,5,八一,2018-01-07
罗凯文,13,24,否,2-5,0-2,0-0,2,3,1,1,1,3,2,0,1,0/0,4,八一,2018-01-07
付豪,1,6,否,1-4,0-0,0-0,1,0,0,3,0,0,1,0,0,0/0,2,八一,2018-01-07
余晨,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-07
邹雨宸,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-07
德勒黑,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-07
李天戈,6,4,否,0-0,0-0,0-0,0,2,2,0,0,0,0,0,0,0/0,0,八一,2018-01-07
王俊霖,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-07
缪光旸,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-01-07
尼克尔森,44,35,是,5-8,3-7,3-3,0,5,1,3,1,3,0,2,5,0/0,22,广东,2018-01-07
易建联,9,32,是,7-17,0-3,7-9,3,18,2,0,1,4,3,1,8,0/0,21,广东,2018-01-07
周鹏,11,40,是,3-4,2-4,3-3,1,5,1,2,0,2,1,0,6,0/0,15,广东,2018-01-07
杨金蒙,17,32,是,1-2,2-4,0-0,1,1,1,4,0,1,0,0,0,0/0,8,广东,2018-01-07
胡明轩,16,28,是,2-3,1-3,0-0,0,5,3,0,3,1,0,0,0,0/0,7,广东,2018-01-07
任骏飞,20,23,否,3-4,1-2,2-2,1,3,0,0,1,2,0,0,1,0/0,11,广东,2018-01-07
赵睿,0,17,否,2-3,0-1,3-4,1,1,5,1,1,1,0,0,3,0/0,7,广东,2018-01-07
王薪凯,5,3,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,广东,2018-01-07
曾繁日,22,4,否,1-2,0-0,0-0,1,0,0,2,0,0,0,0,1,0/0,2,广东,2018-01-07
周湛东,3,15,否,1-2,0-0,0-0,1,2,0,4,0,2,0,0,0,0/0,2,广东,2018-01-07
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-07
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-07
邵英伦,13,6,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,广东,2018-01-07
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-07
埃德温-杰克逊,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2018-01-07
