player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
付豪,1,34,是,8-15,0-0,4-4,3,9,4,1,3,0,1,1,3,0/0,20,八一,2018-11-13
许钟豪,27,33,是,6-7,0-0,4-6,2,3,2,2,1,3,1,0,5,0/0,16,八一,2018-11-13
韩硕,33,39,是,4-5,2-3,0-2,2,1,5,3,2,1,0,0,1,0/0,14,八一,2018-11-13
罗凯文,17,19,是,1-4,0-2,0-0,0,0,1,2,2,2,1,1,0,0/0,2,八一,2018-11-13
田宇翔,7,15,是,0-2,0-2,0-0,0,2,2,2,0,3,0,0,0,0/0,0,八一,2018-11-13
阿尔斯兰,5,32,否,0-1,5-10,2-2,0,0,6,1,1,1,0,0,2,0/0,17,八一,2018-11-13
张祖铭,20,19,否,1-3,3-7,0-0,1,2,1,3,0,2,1,0,0,0/0,11,八一,2018-11-13
雷蒙,11,17,否,0-2,2-5,0-0,1,0,3,3,0,0,0,0,0,0/0,6,八一,2018-11-13
余晨,15,13,否,2-2,0-0,0-0,1,3,0,3,1,0,0,1,1,0/0,4,八一,2018-11-13
郭昊文,26,6,否,0-2,0-2,2-4,0,2,0,0,0,0,0,0,2,0/0,2,八一,2018-11-13
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-13
李天戈,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-13
胡彤浩,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-13
张旭,13,8,否,0-0,0-1,0-0,0,2,2,1,0,0,0,0,0,0/0,0,八一,2018-11-13
宁鸿宇,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-13
刘航初,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-13
西热力江,20,42,是,2-3,5-10,0-1,1,4,8,2,3,3,0,0,2,0/0,19,广州,2018-11-13
弗格,18,25,是,5-8,0-1,6-7,1,10,10,0,2,2,1,0,11,0/0,16,广州,2018-11-13
孙鸣阳,12,23,是,6-13,0-0,0-0,3,2,0,3,1,2,1,0,0,0/0,12,广州,2018-11-13
张永鹏,33,36,是,4-7,0-0,0-0,4,5,4,3,0,2,0,2,0,0/0,8,广州,2018-11-13
司坤,6,30,是,2-4,0-2,0-0,3,1,1,1,0,1,0,0,0,0/0,4,广州,2018-11-13
斯贝茨,5,22,否,5-11,5-5,7-8,0,2,0,2,0,2,2,0,4,0/0,32,广州,2018-11-13
陈盈骏,2,29,否,3-5,0-2,1-3,0,1,2,1,1,2,0,0,2,0/0,7,广州,2018-11-13
郭凯,14,14,否,2-3,0-0,0-1,2,3,1,0,1,0,1,0,1,0/0,4,广州,2018-11-13
鞠明欣,8,12,否,1-1,0-1,1-2,0,1,0,2,0,0,0,0,1,0/0,3,广州,2018-11-13
郑准,50,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
姚天一,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
衡艺丰,21,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-13
