player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
邹雨宸,10,33:12,是,8-14,0-1,4-6,5,7,0,4,0,4,4,0,4,0/0,20,八一,2017-01-13
韩硕,33,37:40,是,4-7,2-9,2-2,1,5,6,2,3,6,0,0,5,0/0,16,八一,2017-01-13
雷蒙,11,43:27,是,0-0,3-10,3-3,2,1,0,2,3,2,0,0,5,1/1,12,八一,2017-01-13
张祖铭,20,27:27,是,0-0,1-6,0-0,2,2,0,6,0,0,0,0,1,0/0,3,八一,2017-01-13
付豪,1,14:06,是,1-6,0-0,0-0,2,4,0,1,0,1,0,0,0,1/1,2,八一,2017-01-13
阿尔斯兰,5,11:04,否,1-5,2-3,0-0,0,0,2,1,0,1,0,0,1,0/0,8,八一,2017-01-13
许钟豪,24,40:17,否,3-10,0-0,1-2,3,10,3,3,1,2,1,0,3,0/0,7,八一,2017-01-13
李天戈,6,03:33,否,1-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,八一,2017-01-13
曹岩,8,08:05,否,0-0,0-1,0-0,0,1,0,1,0,0,0,0,2,0/0,0,八一,2017-01-13
刘航初,9,12:44,否,0-1,0-2,0-0,1,0,1,0,2,1,0,0,2,0/0,0,八一,2017-01-13
宁鸿宇,16,08:25,否,0-1,0-1,0-0,2,1,0,1,0,0,2,0,1,0/0,0,八一,2017-01-13
未确认,--,--,--,0-0,0-0,0-0,0,0,0,0,2,0,0,0,0,0/0,0,八一,2017-01-13
布鲁克斯,2,40:43,是,4-12,3-8,5-7,0,9,3,2,1,4,0,0,5,0/0,22,江苏,2017-01-13
易立,8,38:23,是,6-6,0-3,4-4,0,7,4,4,1,0,0,0,3,2/2,16,江苏,2017-01-13
李原宇,16,37:42,是,5-9,0-0,5-8,6,10,1,4,2,2,0,2,4,1/1,15,江苏,2017-01-13
柳伟,15,26:57,是,3-6,0-0,1-2,0,1,0,2,0,0,0,0,4,0/0,7,江苏,2017-01-13
曹飞,23,15:42,是,1-5,0-0,0-0,1,0,0,3,3,1,0,0,0,0/0,2,江苏,2017-01-13
常林,45,24:04,否,1-7,2-3,1-3,1,2,0,5,0,2,0,0,2,0/0,9,江苏,2017-01-13
侯逸凡,31,10:54,否,0-0,1-3,0-0,0,1,0,1,1,0,0,0,0,0/0,3,江苏,2017-01-13
麦克唐纳,26,07:17,否,0-3,0-0,2-2,1,1,0,0,0,1,1,0,1,0/0,2,江苏,2017-01-13
陈磊,22,10:34,否,1-2,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,2,江苏,2017-01-13
胡雪峰,55,23:45,否,0-0,0-3,2-2,0,3,0,3,3,1,0,0,2,0/0,2,江苏,2017-01-13
常亚松,5,03:59,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,江苏,2017-01-13
未确认,--,--,--,0-0,0-0,0-0,0,1,0,0,0,2,0,0,0,0/0,0,江苏,2017-01-13
