player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
邹雨宸,10,38:39,是,6-13,0-0,5-6,2,9,1,6,1,5,5,0,4,1/1,17,八一,2016-11-13
张祖铭,20,27:31,是,3-5,2-5,2-2,0,3,0,1,0,0,0,1,2,2/2,14,八一,2016-11-13
韩硕,33,18:08,是,1-3,1-3,2-2,0,1,1,1,0,2,0,0,6,0/0,7,八一,2016-11-13
曹岩,8,12:37,是,0-0,0-3,0-0,0,2,0,1,0,0,0,0,1,0/0,0,八一,2016-11-13
付豪,1,11:50,是,0-5,0-0,0-1,3,0,0,0,1,0,0,0,0,0/0,0,八一,2016-11-13
雷蒙,11,41:31,否,1-3,4-7,6-7,1,4,4,3,0,3,0,0,4,0/0,20,八一,2016-11-13
阿尔斯兰,5,29:52,否,2-4,3-7,4-4,0,3,4,3,0,3,0,0,2,0/0,17,八一,2016-11-13
余晨,15,17:34,否,2-7,0-0,1-2,1,2,0,2,0,1,0,0,1,0/0,5,八一,2016-11-13
许钟豪,24,24:11,否,1-5,0-0,0-2,1,3,1,4,1,4,4,0,2,0/0,2,八一,2016-11-13
刘航初,9,06:11,否,0-1,0-1,0-0,0,0,1,0,0,0,0,0,0,0/0,0,八一,2016-11-13
德勒黑,22,11:56,否,0-0,0-0,0-0,0,2,0,0,1,1,0,0,2,0/0,0,八一,2016-11-13
未确认,--,--,--,0-0,0-0,0-0,0,2,0,0,1,0,0,0,0,0/0,0,八一,2016-11-13
吴前,33,42:42,是,6-9,4-6,4-6,1,3,2,3,3,2,0,0,4,0/0,28,浙江,2016-11-13
科迪-拉兰,25,28:29,是,10-22,0-2,4-7,9,11,1,5,0,1,4,3,6,2/2,24,浙江,2016-11-13
张大宇,24,37:19,是,6-16,1-1,1-2,2,6,2,1,0,2,0,1,2,1/1,16,浙江,2016-11-13
夏钰博,15,33:33,是,2-6,0-0,1-2,0,0,1,4,1,1,0,0,1,0/0,5,浙江,2016-11-13
陆文博,8,24:57,是,1-2,0-1,0-0,3,3,2,4,1,1,0,0,2,1/1,2,浙江,2016-11-13
威利-沃伦,32,19:31,否,5-9,0-3,1-2,0,4,1,2,2,2,0,0,4,0/0,11,浙江,2016-11-13
张永鹏,76,30:12,否,2-10,0-0,0-0,3,8,2,6,0,1,0,0,0,0/0,4,浙江,2016-11-13
刘丰博,2,23:17,否,1-2,0-3,1-2,0,0,1,1,0,1,1,0,2,0/0,3,浙江,2016-11-13
未确认,--,--,--,0-0,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,0,浙江,2016-11-13
