player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
付豪,1,33,是,8-20,0-0,4-5,7,4,1,3,0,3,0,0,5,0/0,20,八一,2018-11-01
韩硕,33,32,是,3-6,2-7,6-6,2,7,8,2,4,2,0,0,4,0/0,18,八一,2018-11-01
雷蒙,11,28,是,2-6,4-7,0-0,0,0,0,3,1,2,0,0,1,0/0,16,八一,2018-11-01
罗凯文,17,36,是,6-9,1-2,0-0,1,4,2,6,1,3,2,0,1,0/0,15,八一,2018-11-01
许钟豪,27,29,是,3-7,0-0,3-4,5,4,1,6,1,3,1,0,3,0/0,9,八一,2018-11-01
阿尔斯兰,5,15,否,3-3,1-2,2-2,0,2,0,1,0,1,0,0,1,0/0,11,八一,2018-11-01
余晨,15,15,否,2-4,0-0,3-4,2,4,0,2,0,0,0,0,5,0/0,7,八一,2018-11-01
李天戈,6,26,否,2-2,1-4,0-0,1,4,3,1,0,1,0,0,1,0/0,7,八一,2018-11-01
张祖铭,20,16,否,2-4,0-5,0-0,3,2,0,2,1,1,0,0,0,0/0,4,八一,2018-11-01
郭昊文,26,5,否,1-1,0-2,1-1,0,2,0,1,0,1,0,0,2,0/0,3,八一,2018-11-01
曹岩,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-01
胡彤浩,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-01
张旭,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-01
田宇翔,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-01
宁鸿宇,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-01
刘航初,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,八一,2018-11-01
约翰逊,41,16,是,7-9,0-0,2-5,2,3,1,1,2,2,2,0,5,0/0,16,青岛,2018-11-01
王庆明,32,31,是,2-3,1-3,2-2,1,0,0,6,3,0,0,0,3,0/0,9,青岛,2018-11-01
翟逸,33,29,是,3-5,0-0,0-0,2,4,1,3,0,1,0,0,2,0/0,6,青岛,2018-11-01
张骋宇,6,44,是,3-13,0-2,0-0,0,5,6,3,5,3,0,0,1,0/0,6,青岛,2018-11-01
周湛东,8,9,是,0-0,0-1,0-0,0,1,3,0,0,1,0,0,0,0/0,0,青岛,2018-11-01
吉布森,22,31,否,10-19,2-8,9-10,2,2,0,4,0,4,0,0,8,0/0,35,青岛,2018-11-01
宗赞,13,37,否,4-5,0-3,5-6,2,7,2,3,1,2,1,0,3,0/0,13,青岛,2018-11-01
许家晗,3,13,否,1-3,1-1,3-4,0,0,0,0,0,2,0,0,2,0/0,8,青岛,2018-11-01
邵英伦,11,13,否,2-2,0-0,3-3,2,2,0,3,1,0,0,0,3,0/0,7,青岛,2018-11-01
丁皓然,35,9,否,1-1,1-3,0-0,0,1,0,0,1,1,1,1,0,0/0,5,青岛,2018-11-01
王思奇,17,1,否,0-0,0-0,1-1,0,0,0,0,0,0,0,0,0,0/0,1,青岛,2018-11-01
焦海龙,10,2,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
张涵钧,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
杨金蒙,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
杨凯,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
刘书楠,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
刘传兴,19,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
史文龙,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
寸守伟,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
高尚,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,青岛,2018-11-01
