player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,40,是,14-21,1-1,1-1,4,9,1,0,2,0,2,3,2,0/0,32,北京,2018-03-10
常林,23,34,是,5-8,0-2,2-2,6,4,0,3,1,1,0,1,2,0/0,12,北京,2018-03-10
段江鹏,11,29,是,1-2,3-7,0-0,0,1,5,5,2,1,0,0,0,0/0,11,北京,2018-03-10
方硕,8,44,是,2-4,2-9,1-1,0,4,5,2,5,1,0,0,3,0/0,11,北京,2018-03-10
刘晓宇,10,24,是,2-5,0-3,0-0,1,6,5,4,1,2,0,0,0,0/0,4,北京,2018-03-10
艾伦-杰克逊,7,30,否,8-12,0-2,2-3,1,6,6,2,1,4,0,0,4,0/0,18,北京,2018-03-10
吉喆,51,17,否,0-0,1-2,0-0,1,0,0,3,2,0,0,0,0,0/0,3,北京,2018-03-10
段鸿瑞,29,2,否,0-0,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,3,北京,2018-03-10
翟晓川,20,8,否,1-3,0-1,1-2,1,2,0,1,0,0,0,0,2,0/0,3,北京,2018-03-10
王旭,4,3,否,0-0,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,北京,2018-03-10
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
张才仁,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
王骁辉,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
朱彦西,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-03-10
丘天,19,3,否,0-0,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,0,北京,2018-03-10
弗雷戴特,32,45,是,4-11,2-11,10-10,0,10,5,1,0,4,0,0,11,0/0,24,上海,2018-03-10
张兆旭,23,35,是,4-6,0-0,2-3,3,2,0,4,2,4,0,0,4,0/0,10,上海,2018-03-10
蔡亮,1,41,是,1-3,2-4,0-0,4,1,1,2,1,3,0,1,0,0/0,8,上海,2018-03-10
罗汉琛,33,30,是,3-6,0-0,0-0,0,0,1,1,1,3,0,0,1,0/0,6,上海,2018-03-10
曾文鼎,76,13,是,0-0,1-1,0-0,0,0,2,1,0,0,0,0,0,0/0,3,上海,2018-03-10
明纳拉斯,41,26,否,1-12,1-5,4-4,2,6,1,1,0,1,0,0,4,0/0,9,上海,2018-03-10
卢伟,12,21,否,1-1,1-5,0-0,0,0,0,0,1,0,0,0,0,0/0,5,上海,2018-03-10
董瀚麟,16,17,否,1-1,0-0,3-4,2,3,0,1,0,2,0,0,2,0/0,5,上海,2018-03-10
翟逸,22,6,否,1-1,0-1,0-0,0,0,0,2,0,0,0,0,0,0/0,2,上海,2018-03-10
黄世乾,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
王潼,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
颜鹏,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
罗智,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
孟令源,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
施宇晨,47,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
黄旭,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,上海,2018-03-10
