player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
段江鹏,11,36,是,3-3,3-4,2-3,1,2,0,3,0,3,0,0,2,0/0,17,北京,2018-12-09
汉密尔顿,41,39,是,6-10,0-2,4-5,2,5,4,3,5,3,3,0,7,0/0,16,北京,2018-12-09
刘晓宇,10,27,是,5-8,1-3,3-8,3,3,5,5,2,5,0,0,5,0/0,16,北京,2018-12-09
张才仁,16,32,是,2-3,1-3,1-2,1,2,1,3,1,1,0,0,1,0/0,8,北京,2018-12-09
张卓,22,4,是,0-3,0-0,0-0,0,0,1,0,0,0,0,0,0,0/0,0,北京,2018-12-09
艾伦-杰克逊,7,30,否,10-14,1-4,7-7,2,9,2,0,1,4,0,0,9,0/0,30,北京,2018-12-09
朱彦西,13,31,否,0-0,2-4,0-0,1,5,0,2,2,0,0,0,0,0/0,6,北京,2018-12-09
王旭,4,12,否,1-1,1-2,0-0,0,1,0,0,0,3,0,0,0,0/0,5,北京,2018-12-09
丘天,19,8,否,0-4,0-0,2-2,2,2,0,1,0,0,0,0,1,0/0,2,北京,2018-12-09
王鑫磊,31,1,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北京,2018-12-09
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
段鸿瑞,29,2,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
王骁辉,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
翟晓川,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
常林,23,11,否,0-0,0-0,0-0,0,2,0,2,0,0,0,0,0,0/0,0,北京,2018-12-09
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-09
皮埃尔-杰克逊,55,39,是,11-17,2-11,8-8,0,5,10,4,6,3,1,0,11,0/0,36,北控,2018-12-09
于梁,11,37,是,2-4,1-4,0-0,1,1,1,4,2,3,0,0,2,0/0,7,北控,2018-12-09
张帆,3,23,是,2-4,1-5,0-0,2,1,1,2,2,2,0,0,1,0/0,7,北控,2018-12-09
许梦君,9,18,是,0-1,2-6,0-0,1,1,0,2,0,1,0,0,1,0/0,6,北控,2018-12-09
王征,28,6,是,1-1,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,2,北控,2018-12-09
托马斯-罗宾逊,0,32,否,6-13,0-0,5-5,6,8,1,2,3,3,0,0,4,0/0,17,北控,2018-12-09
孙贺男,31,25,否,2-3,2-4,0-0,2,1,0,1,2,1,0,0,0,0/0,10,北控,2018-12-09
张铭浩,30,19,否,2-5,0-0,0-0,2,1,0,2,0,0,0,0,0,0/0,4,北控,2018-12-09
景浩扬,12,10,否,0-1,1-5,0-0,0,0,0,2,0,0,0,0,0,0/0,3,北控,2018-12-09
常亚松,7,8,否,0-1,0-0,2-2,0,0,0,2,1,0,0,0,1,0/0,2,北控,2018-12-09
刘大鹏,20,18,否,0-1,0-2,0-0,0,2,0,4,1,1,0,0,0,0/0,0,北控,2018-12-09
于澍龙,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
杨敬敏,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
王振宇,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-12-09
