player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
翟晓川,20,28:30,是,5-8,2-3,2-6,2,7,3,2,2,0,0,1,6,2/3,18,北京,2017-02-10
方硕,8,28:11,是,1-1,3-7,2-3,2,4,3,1,0,2,0,0,2,0/0,13,北京,2017-02-10
吉喆,51,23:53,是,3-7,1-4,0-0,0,5,1,5,1,0,2,2,0,1/1,9,北京,2017-02-10
张松涛,35,15:07,是,1-2,0-0,1-2,0,5,0,2,1,3,0,0,1,0/0,3,北京,2017-02-10
马布里,3,24:02,是,1-1,0-0,0-0,1,1,3,0,0,0,0,0,1,0/0,2,北京,2017-02-10
朱彦西,13,17:23,否,2-2,3-5,0-0,1,3,1,6,0,0,0,0,0,0/0,13,北京,2017-02-10
杰瑞特,34,30:01,否,6-9,0-0,0-0,4,5,3,1,1,3,1,3,0,0/0,12,北京,2017-02-10
张才仁,16,09:29,否,1-5,2-4,0-0,0,2,0,1,0,2,0,0,0,0/0,8,北京,2017-02-10
张庆鹏,18,12:23,否,3-3,0-4,1-2,0,0,0,2,0,3,0,0,1,0/0,7,北京,2017-02-10
段江鹏,11,16:27,否,3-3,0-3,0-0,2,0,1,1,1,1,0,0,0,1/1,6,北京,2017-02-10
孙悦,9,15:11,否,0-1,2-3,0-0,4,1,3,1,0,0,1,0,1,0/0,6,北京,2017-02-10
王骁辉,33,19:23,否,1-2,1-3,0-0,1,2,2,4,1,0,0,0,0,0/0,5,北京,2017-02-10
未确认,--,--,--,0-0,0-0,0-0,0,4,0,0,0,0,0,0,0,0/0,0,北京,2017-02-10
M.I.托马斯,9,42:50,是,8-16,0-0,9-13,6,13,1,0,3,3,3,0,9,0/0,25,吉林,2017-02-10
张彪,14,28:18,是,1-8,0-0,3-3,1,2,0,3,0,3,0,0,3,0/0,5,吉林,2017-02-10
崔晋铭,5,19:41,是,2-5,0-0,0-0,0,3,0,0,1,1,0,0,1,0/1,4,吉林,2017-02-10
柴长易,6,22:10,是,1-3,0-2,2-2,1,0,0,2,2,1,0,0,3,0/0,4,吉林,2017-02-10
金明,2,10:49,是,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-02-10
J.A.布朗,55,29:16,否,6-15,0-2,5-8,1,2,0,3,1,1,0,2,6,3/3,17,吉林,2017-02-10
郭金林,21,09:27,否,1-1,1-2,2-2,0,2,0,0,0,0,0,0,1,0/0,7,吉林,2017-02-10
梁程,10,09:36,否,3-6,0-0,1-2,1,1,0,1,1,0,0,0,1,0/0,7,吉林,2017-02-10
钟诚,12,21:51,否,2-4,0-0,0-0,1,2,0,0,0,0,0,0,1,0/0,4,吉林,2017-02-10
蔡李龙,20,18:49,否,1-3,0-3,0-0,0,1,0,2,0,1,0,0,0,0/0,2,吉林,2017-02-10
李安,4,10:26,否,1-2,0-0,0-0,0,1,0,1,2,0,0,0,0,0/0,2,吉林,2017-02-10
肖剑,11,16:47,否,0-3,0-2,1-2,0,2,1,0,0,0,0,0,1,0/0,1,吉林,2017-02-10
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,吉林,2017-02-10
