player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,38,是,10-19,0-2,4-4,4,7,3,1,3,5,0,2,2,0/0,24,北京,2018-02-04
翟晓川,20,27,是,5-12,2-4,1-3,2,5,3,0,1,1,2,1,3,0/0,17,北京,2018-02-04
王骁辉,33,27,是,0-0,4-8,0-1,2,4,1,3,0,0,0,0,2,0/0,12,北京,2018-02-04
朱彦西,13,19,是,1-1,3-6,0-0,0,1,1,4,1,1,0,0,1,0/0,11,北京,2018-02-04
刘晓宇,10,30,是,1-3,2-2,3-4,0,1,7,2,1,1,0,0,4,0/0,11,北京,2018-02-04
方硕,8,21,否,2-5,3-4,2-2,0,3,3,0,2,0,0,0,2,0/0,15,北京,2018-02-04
常林,11,16,否,3-3,1-2,3-4,0,3,1,3,2,3,1,0,2,0/0,12,北京,2018-02-04
丘天,19,5,否,2-3,0-0,0-0,1,1,0,1,0,0,0,1,0,0/0,4,北京,2018-02-04
张松涛,35,5,否,1-1,0-0,1-2,0,0,0,2,1,0,0,0,1,0/0,3,北京,2018-02-04
吉喆,51,10,否,1-1,0-1,0-0,0,2,0,3,0,1,0,0,1,0/0,2,北京,2018-02-04
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-04
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-04
兰多夫-莫里斯,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-04
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-04
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-04
张才仁,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-04
段江鹏,11,18,否,0-2,0-1,0-0,1,1,1,1,1,1,0,0,0,0/0,0,北京,2018-02-04
王旭,4,18,否,0-1,0-0,0-0,0,0,5,5,0,2,0,0,0,0/0,0,北京,2018-02-04
迪奥古,50,45,是,8-15,7-9,4-5,1,14,2,1,1,2,0,0,6,0/0,41,四川,2018-02-04
黄荣奇,7,41,是,5-9,1-2,0-0,1,0,2,2,2,6,0,1,4,0/0,13,四川,2018-02-04
刘炜,8,32,是,4-8,1-2,0-1,0,2,5,0,2,2,0,0,5,0/0,11,四川,2018-02-04
陈晓东,11,9,是,1-1,0-0,0-0,0,4,0,3,0,1,0,0,0,0/0,2,四川,2018-02-04
陈辰,32,14,是,0-2,0-2,0-0,0,0,1,4,1,0,0,0,0,0/0,0,四川,2018-02-04
哈达迪,15,25,否,5-7,0-0,8-14,2,5,1,5,1,3,1,1,8,0/0,18,四川,2018-02-04
李柯七,17,12,否,1-1,1-2,1-2,0,1,2,1,1,0,0,0,0,0/0,6,四川,2018-02-04
王政博,16,16,否,1-1,0-2,0-0,0,1,0,1,0,0,0,0,0,0/0,2,四川,2018-02-04
左朕年,13,27,否,1-6,0-2,0-0,2,2,0,1,0,4,0,0,1,0/0,2,四川,2018-02-04
侯天一,14,10,否,1-2,0-0,0-0,1,2,0,0,1,0,0,0,1,0/0,2,四川,2018-02-04
吴楠,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
孟达,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
徐煜峰,9,1,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
杨越,6,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
赵杭,26,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
张瀚月,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
钟一帆,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,四川,2018-02-04
