player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马布里,3,40:56,是,11-17,5-13,4-5,0,3,2,4,4,3,0,0,7,1/1,41,北京,2017-01-04
吉喆,51,40:55,是,3-5,2-3,1-2,2,6,0,5,3,1,0,0,0,0/0,13,北京,2017-01-04
王骁辉,33,08:49,是,1-2,0-0,3-3,1,1,1,0,0,0,0,0,2,0/0,5,北京,2017-01-04
孙悦,9,33:00,是,0-1,1-6,1-2,2,5,0,4,4,1,0,0,1,0/0,4,北京,2017-01-04
张松涛,35,06:48,是,0-0,0-0,0-2,0,1,0,2,0,3,0,0,1,0/0,0,北京,2017-01-04
杰瑞特,34,29:15,否,4-6,0-0,9-10,0,6,2,2,1,2,2,2,6,0/0,17,北京,2017-01-04
方硕,8,31:37,否,0-3,2-3,2-2,1,2,6,0,1,3,0,0,1,0/0,8,北京,2017-01-04
段江鹏,11,20:42,否,2-4,1-2,0-0,1,0,0,5,0,2,0,0,0,0/0,7,北京,2017-01-04
张庆鹏,18,07:01,否,0-0,0-1,0-0,0,2,1,1,0,2,0,0,1,0/0,0,北京,2017-01-04
朱彦西,13,20:23,否,0-0,0-1,0-0,1,3,0,1,0,1,0,0,0,0/0,0,北京,2017-01-04
张才仁,16,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-01-04
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,2,0,0,0,0/0,0,北京,2017-01-04
富兰克林,11,44:33,是,4-6,3-11,19-20,0,9,5,2,3,7,0,0,17,1/1,36,山西,2017-01-04
任骏威,21,37:58,是,3-4,0-3,2-4,1,3,2,4,2,1,0,0,2,2/2,8,山西,2017-01-04
原帅,7,18:06,是,1-1,2-3,0-0,0,1,0,2,2,2,0,0,0,0/0,8,山西,2017-01-04
张学文,33,28:16,是,1-1,1-3,0-0,0,1,0,3,0,1,1,1,0,1/1,5,山西,2017-01-04
闫鹏飞,9,26:28,是,0-3,0-1,1-1,1,3,1,2,2,3,0,0,1,0/0,1,山西,2017-01-04
亨利-西姆斯,36,27:27,否,8-17,0-0,3-4,1,6,0,3,0,0,0,0,2,0/0,19,山西,2017-01-04
曾令旭,6,22:57,否,1-3,1-4,0-0,1,0,1,0,2,0,0,0,0,0/0,5,山西,2017-01-04
王磊,8,16:37,否,0-0,0-1,3-4,0,1,1,2,0,0,0,0,2,0/0,3,山西,2017-01-04
邢志强,12,04:23,否,0-1,0-0,0-0,1,0,0,0,0,1,0,0,0,0/0,0,山西,2017-01-04
田桂森,3,13:15,否,0-0,0-0,0-0,0,0,0,1,1,1,0,0,0,0/0,0,山西,2017-01-04
未确认,--,--,--,0-0,0-0,0-0,1,4,0,0,0,2,0,0,0,0/0,0,山西,2017-01-04
