player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
朱彦西,13,43,是,1-1,4-8,0-0,1,5,0,0,2,0,1,0,0,0/0,14,北京,2018-10-31
汉密尔顿,41,39,是,3-6,1-6,4-4,1,7,2,4,0,2,3,0,4,0/0,13,北京,2018-10-31
翟晓川,20,30,是,1-6,2-3,4-4,4,3,2,1,0,1,1,0,4,0/0,12,北京,2018-10-31
张才仁,16,28,是,3-3,1-5,0-0,0,3,1,6,0,2,0,0,0,0/0,9,北京,2018-10-31
刘晓宇,10,15,是,1-2,1-2,0-1,0,0,2,0,1,1,0,0,2,0/0,5,北京,2018-10-31
艾伦-杰克逊,7,28,否,4-11,1-2,5-5,0,7,5,0,2,1,0,0,8,0/0,16,北京,2018-10-31
方硕,8,35,否,4-10,1-4,3-3,1,1,6,4,1,1,0,0,3,0/0,14,北京,2018-10-31
段江鹏,11,10,否,1-1,0-1,3-3,0,2,0,0,0,0,0,0,1,0/0,5,北京,2018-10-31
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
王骁辉,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
丘天,19,4,否,0-0,0-0,0-0,0,0,0,2,0,1,0,0,0,0/0,0,北京,2018-10-31
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
常林,23,4,否,0-1,0-1,0-0,0,0,0,1,0,1,0,0,0,0/0,0,北京,2018-10-31
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-10-31
福特森,4,43,是,3-12,4-12,6-9,1,11,9,5,1,1,0,0,10,0/0,24,广厦,2018-10-31
胡金秋,21,40,是,9-16,0-0,0-0,4,9,0,1,0,1,2,0,1,0/0,18,广厦,2018-10-31
林志杰,27,20,是,0-0,1-3,1-1,1,2,1,2,1,0,0,0,2,0/0,4,广厦,2018-10-31
苏若禹,5,16,是,1-1,0-0,2-2,0,0,0,3,3,1,0,0,2,0/0,4,广厦,2018-10-31
赵岩昊,25,15,是,0-3,1-1,0-0,1,2,0,1,1,1,1,0,0,0/0,3,广厦,2018-10-31
博洛西斯,29,28,否,7-10,1-10,0-0,1,4,6,1,2,3,0,0,1,0/0,17,广厦,2018-10-31
李京龙,9,29,否,0-0,5-8,2-2,1,1,2,2,0,0,0,0,1,0/0,17,广厦,2018-10-31
孙铭徽,17,14,否,2-4,0-1,0-0,0,0,1,5,0,1,0,0,0,0/0,4,广厦,2018-10-31
刘铮,11,23,否,0-3,1-2,1-2,3,4,2,1,1,0,0,0,1,0/0,4,广厦,2018-10-31
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-31
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-31
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-31
赵天熠,15,6,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,广厦,2018-10-31
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-31
鞠鹏,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2018-10-31
