player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,36,是,4-7,1-2,7-8,1,9,3,2,4,4,0,2,6,0/0,18,北京,2018-12-07
翟晓川,20,35,是,3-5,2-4,3-5,0,2,1,3,1,0,0,0,7,0/0,15,北京,2018-12-07
刘晓宇,10,32,是,1-4,2-3,1-2,0,5,6,4,4,1,0,0,4,0/0,9,北京,2018-12-07
张卓,22,11,是,3-4,0-1,1-1,0,2,0,0,0,0,0,0,2,0/0,7,北京,2018-12-07
王骁辉,33,6,是,0-1,1-1,0-0,0,0,0,2,0,0,0,0,0,0/0,3,北京,2018-12-07
艾伦-杰克逊,7,33,否,6-9,3-6,4-4,2,3,7,3,2,3,0,0,3,0/0,25,北京,2018-12-07
段江鹏,11,24,否,4-5,2-2,2-3,1,1,1,1,0,0,0,0,2,0/0,16,北京,2018-12-07
朱彦西,13,36,否,1-2,3-9,2-2,0,2,0,4,0,2,0,0,1,0/0,13,北京,2018-12-07
张才仁,16,13,否,1-3,0-1,1-2,0,1,0,2,0,0,0,0,1,0/0,3,北京,2018-12-07
丘天,19,7,否,0-2,0-0,2-2,1,0,0,4,0,1,1,0,1,0/0,2,北京,2018-12-07
王旭,4,1,否,0-1,0-0,1-2,1,0,1,1,0,0,0,0,1,0/0,1,北京,2018-12-07
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
方硕,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
赵晏满,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
常林,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
陈赞宇,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-12-07
弗格,18,36,是,6-11,4-7,13-16,3,5,3,4,1,6,0,0,11,0/0,37,广州,2018-12-07
西热力江,20,36,是,3-5,2-4,0-0,1,3,4,1,0,2,0,0,1,0/0,12,广州,2018-12-07
张永鹏,33,31,是,4-5,0-0,0-0,5,8,1,4,0,3,1,0,0,0/0,8,广州,2018-12-07
郑准,50,6,是,0-0,0-2,1-2,0,1,0,1,0,1,0,0,1,0/0,1,广州,2018-12-07
鞠明欣,8,28,是,0-3,0-1,0-0,3,4,0,4,1,0,0,0,3,0/0,0,广州,2018-12-07
斯贝茨,5,34,否,6-14,2-8,7-8,0,6,1,5,0,1,0,0,5,0/0,25,广州,2018-12-07
陈盈骏,2,24,否,1-2,0-3,5-6,0,2,3,5,2,2,0,0,3,0/0,7,广州,2018-12-07
姚天一,1,18,否,0-2,2-3,0-0,0,0,0,1,0,0,0,0,0,0/0,6,广州,2018-12-07
郭凯,14,9,否,1-1,0-0,0-0,1,0,0,1,2,0,0,0,0,0/0,2,广州,2018-12-07
孙鸣阳,12,7,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,1,0/0,0,广州,2018-12-07
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-07
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-07
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-07
司坤,6,0,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,广州,2018-12-07
衡艺丰,21,5,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,广州,2018-12-07
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-07
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-07
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-12-07
