player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
汉密尔顿,41,38,是,9-16,0-0,5-6,6,6,4,1,1,2,2,4,7,0/0,23,北京,2018-02-06
朱彦西,13,32,是,2-3,6-6,0-0,1,2,3,2,1,0,0,0,1,0/0,22,北京,2018-02-06
翟晓川,20,38,是,4-8,2-8,7-11,0,5,3,2,1,2,2,1,7,0/0,21,北京,2018-02-06
刘晓宇,10,29,是,3-8,2-2,0-0,1,2,5,3,0,3,0,0,1,0/0,12,北京,2018-02-06
王骁辉,33,20,是,1-2,0-4,0-0,1,5,1,3,1,0,0,0,0,0/0,2,北京,2018-02-06
方硕,8,32,否,5-9,4-8,0-0,3,5,6,3,1,1,0,0,1,0/0,22,北京,2018-02-06
常林,23,15,否,2-3,0-0,0-0,0,4,0,2,0,0,1,1,3,0/0,4,北京,2018-02-06
王旭,4,19,否,0-0,1-2,0-0,0,0,1,5,1,2,0,0,1,0/0,3,北京,2018-02-06
丘天,19,2,否,1-1,0-0,0-0,0,0,0,0,0,0,0,1,0,0/0,2,北京,2018-02-06
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
吉喆,51,5,否,0-2,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
段江鹏,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
张才仁,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
张松涛,35,4,否,0-1,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,北京,2018-02-06
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2018-02-06
亚当斯,4,44,是,5-9,4-13,9-12,0,3,4,3,1,5,0,0,12,0/0,31,新疆,2018-02-06
阿不都沙拉木,14,26,是,6-9,0-4,5-6,7,5,0,4,1,1,0,0,4,0/0,17,新疆,2018-02-06
孙桐林,55,29,是,3-5,0-0,0-0,1,2,1,1,0,0,1,0,0,0/0,6,新疆,2018-02-06
可兰白克,13,22,是,1-6,1-3,1-1,2,0,1,3,0,1,0,0,1,0/0,6,新疆,2018-02-06
俞长栋,7,26,是,0-5,1-3,0-0,1,2,0,4,1,0,0,0,1,0/0,3,新疆,2018-02-06
李根,1,30,否,2-5,2-5,4-4,0,0,1,2,1,0,0,0,2,0/0,14,新疆,2018-02-06
奥古斯托-利马,23,21,否,4-7,0-0,1-2,1,5,0,2,1,0,1,0,1,0/0,9,新疆,2018-02-06
西热力江,20,25,否,1-2,1-4,0-0,0,7,2,2,0,1,0,0,0,0/0,5,新疆,2018-02-06
孙鸣阳,21,5,否,1-3,0-0,2-2,1,2,0,0,0,0,0,0,1,0/0,4,新疆,2018-02-06
卡米然斯地克江,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-06
刘丰博,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-06
李学林,6,7,否,0-0,0-0,0-0,0,2,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-06
王子瑞,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-06
唐才育,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,新疆,2018-02-06
