player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马布里,3,28:46,是,5-9,2-3,2-4,0,1,5,3,2,2,0,0,3,1/1,18,北京,2016-11-20
翟晓川,20,25:52,是,4-5,2-3,4-5,3,1,1,2,0,1,1,0,2,1/1,18,北京,2016-11-20
孙悦,9,26:59,是,2-2,2-5,0-0,0,3,3,1,1,2,0,1,1,1/1,10,北京,2016-11-20
吉喆,51,17:09,是,1-4,0-1,0-1,0,5,0,0,0,0,1,1,1,1/2,2,北京,2016-11-20
张松涛,35,08:03,是,0-0,0-0,1-2,1,0,1,6,0,1,0,0,1,0/0,1,北京,2016-11-20
莫里斯,32,39:15,否,11-20,0-0,4-7,1,9,1,4,2,1,1,1,7,1/1,26,北京,2016-11-20
张庆鹏,18,22:05,否,0-1,4-4,2-4,3,1,4,1,0,2,0,0,5,0/0,14,北京,2016-11-20
王骁辉,33,20:58,否,1-1,3-4,0-0,0,3,1,1,0,1,0,0,0,0/0,11,北京,2016-11-20
朱彦西,13,28:34,否,0-0,3-7,0-0,1,2,0,4,0,0,0,0,1,0/0,9,北京,2016-11-20
方硕,8,19:04,否,2-4,0-0,3-3,1,1,3,1,1,0,0,0,2,0/0,7,北京,2016-11-20
张才仁,16,03:15,否,0-1,0-0,0-0,0,0,1,1,0,0,0,0,0,0/0,0,北京,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,2,2,0,0,0,1,0,0,1,0/0,0,北京,2016-11-20
威利-沃伦,32,44:03,是,14-21,0-4,10-10,3,9,9,2,1,5,0,0,10,0/0,38,浙江,2016-11-20
赖俊豪,17,46:52,是,2-3,3-6,2-2,2,2,0,3,1,2,0,0,1,0/0,15,浙江,2016-11-20
张永鹏,76,31:25,是,4-10,0-0,0-0,1,5,2,3,0,2,0,2,1,0/0,8,浙江,2016-11-20
夏钰博,15,13:26,是,2-5,0-0,0-0,1,2,0,1,0,1,0,0,0,0/0,4,浙江,2016-11-20
陆文博,8,28:06,是,2-3,0-1,0-0,1,1,0,3,1,0,0,0,1,1/1,4,浙江,2016-11-20
吴前,33,40:36,否,3-5,2-5,9-10,1,1,2,4,0,0,0,0,9,0/0,21,浙江,2016-11-20
科迪-拉兰,25,17:43,否,3-7,0-2,2-2,0,3,0,6,1,1,0,1,1,1/1,8,浙江,2016-11-20
卢艺文,11,04:45,否,0-0,1-1,0-0,0,0,0,0,0,0,0,0,0,0/0,3,浙江,2016-11-20
刘丰博,2,13:04,否,0-0,0-3,0-0,1,0,0,2,2,0,0,0,0,0/0,0,浙江,2016-11-20
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,1,0/0,0,浙江,2016-11-20
