player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马布里,3,37:59,是,8-13,0-3,7-8,1,3,6,2,4,1,0,0,6,2/2,23,北京,2016-12-04
吉喆,51,27:08,是,1-3,4-5,5-5,0,2,0,3,0,1,2,0,2,0/0,19,北京,2016-12-04
张松涛,35,20:44,是,4-6,0-0,2-2,2,2,1,6,0,1,1,0,2,0/0,10,北京,2016-12-04
翟晓川,20,25:49,是,3-10,0-1,3-3,2,6,2,2,1,1,1,0,2,1/1,9,北京,2016-12-04
孙悦,9,30:58,是,0-3,1-5,1-2,0,8,3,1,2,1,4,0,2,0/0,4,北京,2016-12-04
莫里斯,32,34:01,否,8-13,0-0,2-4,2,5,1,5,2,5,0,0,4,0/0,18,北京,2016-12-04
方硕,8,24:54,否,5-9,1-2,0-2,0,3,2,2,0,2,0,0,1,1/1,13,北京,2016-12-04
张庆鹏,18,17:35,否,2-2,1-4,4-4,0,2,2,2,0,1,0,0,3,1/1,11,北京,2016-12-04
王骁辉,33,10:11,否,0-0,1-1,0-0,1,1,0,3,0,0,0,0,2,0/0,3,北京,2016-12-04
朱彦西,13,10:41,否,0-1,1-3,0-0,1,1,0,1,0,0,1,0,0,0/0,3,北京,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,3,1,0,0,0,0,0,0,0,0/0,0,北京,2016-12-04
杰里米-帕戈,2,39:05,是,13-21,2-9,8-10,0,4,4,1,1,2,1,1,6,0/0,40,深圳,2016-12-04
顾全,12,40:28,是,3-3,2-2,1-2,1,5,0,4,1,2,1,0,4,1/1,13,深圳,2016-12-04
孟铎,3,37:34,是,2-3,1-6,1-2,0,1,3,3,0,3,1,0,2,0/0,8,深圳,2016-12-04
张凯,7,25:14,是,3-3,0-0,1-2,2,6,2,1,0,1,1,0,3,0/0,7,深圳,2016-12-04
李慕豪,21,27:42,是,2-6,0-0,1-4,0,5,0,3,0,0,0,1,4,0/0,5,深圳,2016-12-04
马齐-兰佩,30,32:55,否,10-15,1-2,2-2,2,11,2,2,1,2,0,1,4,0/0,25,深圳,2016-12-04
沈梓捷,11,09:22,否,2-5,0-0,0-0,1,3,0,0,1,1,2,1,1,1/1,4,深圳,2016-12-04
赵捷,24,05:51,否,2-3,0-0,0-1,0,0,0,0,0,1,0,0,1,0/0,4,深圳,2016-12-04
于德豪,8,08:55,否,1-1,0-0,1-3,0,0,0,4,1,1,0,0,2,0/0,3,深圳,2016-12-04
何忠勉,20,12:07,否,1-1,0-1,0-0,0,0,0,4,2,2,0,0,0,1/1,2,深圳,2016-12-04
代怀博,22,00:47,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,深圳,2016-12-04
未确认,--,--,--,0-0,0-0,0-0,3,1,0,0,0,0,0,0,0,0/0,0,深圳,2016-12-04
