player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
翟晓川,20,29:54,是,15-21,1-4,5-9,6,1,1,0,0,1,0,3,6,3/3,38,北京,2016-12-16
吉喆,51,34:46,是,3-8,1-4,0-0,2,5,2,3,4,0,3,0,2,1/1,9,北京,2016-12-16
孙悦,9,28:54,是,0-1,2-7,1-2,0,4,3,4,1,1,1,0,2,0/0,7,北京,2016-12-16
马布里,3,25:17,是,1-2,0-2,2-2,0,0,5,1,1,2,1,0,1,0/0,4,北京,2016-12-16
张松涛,35,13:30,是,0-1,0-0,0-0,1,2,0,3,1,0,0,0,1,0/0,0,北京,2016-12-16
莫里斯,32,34:29,否,9-16,0-0,10-15,4,11,1,4,4,4,0,0,8,0/0,28,北京,2016-12-16
张庆鹏,18,16:01,否,0-2,3-4,2-2,0,2,0,0,0,0,0,0,1,0/0,11,北京,2016-12-16
方硕,8,24:10,否,2-3,1-2,1-2,0,2,3,1,0,1,0,0,1,0/0,8,北京,2016-12-16
段江鹏,11,16:04,否,3-6,0-1,0-0,1,2,1,1,2,0,0,0,0,1/2,6,北京,2016-12-16
王骁辉,33,06:33,否,0-1,1-1,2-2,0,1,0,2,0,0,0,0,1,0/0,5,北京,2016-12-16
朱彦西,13,08:24,否,0-0,0-1,0-0,1,2,0,2,0,1,0,0,1,0/0,0,北京,2016-12-16
张才仁,16,03:52,否,0-3,0-1,0-0,0,1,0,0,0,0,0,0,0,0/0,0,北京,2016-12-16
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,1,0,0,0,0/0,0,北京,2016-12-16
王哲林,31,23:22,是,4-11,0-0,4-6,3,10,3,4,0,6,0,1,3,0/0,12,福建,2016-12-16
德怀特-拜克斯,38,33:20,是,3-5,1-6,3-4,0,4,1,0,0,2,0,0,5,1/1,12,福建,2016-12-16
胡珑贸,10,20:07,是,2-2,2-5,1-1,2,4,0,2,1,2,0,0,2,0/0,11,福建,2016-12-16
孙椿棚,13,13:06,是,2-4,0-0,0-0,1,0,0,2,0,0,0,0,0,0/0,4,福建,2016-12-16
黄毅超,14,38:25,是,0-1,1-6,1-1,0,4,0,1,1,2,0,0,1,0/0,4,福建,2016-12-16
赵泰隆,9,25:50,否,5-8,3-4,2-3,0,2,0,3,0,2,0,1,1,0/0,21,福建,2016-12-16
J.J-希克森,21,31:41,否,3-8,0-0,6-8,0,7,1,4,1,3,0,1,6,0/0,12,福建,2016-12-16
王增杰,23,15:21,否,3-7,0-0,0-0,1,2,0,4,0,1,1,0,0,0/0,6,福建,2016-12-16
孙喆,41,08:20,否,1-1,0-0,3-4,0,2,1,1,0,0,2,0,2,0/0,5,福建,2016-12-16
李江淮,5,23:44,否,1-3,0-2,0-0,2,2,2,3,2,1,0,0,0,0/0,2,福建,2016-12-16
周启新,1,06:44,否,0-2,0-0,1-2,0,0,1,0,0,1,0,0,0,0/0,1,福建,2016-12-16
未确认,--,--,--,0-0,0-0,0-0,2,0,0,0,0,1,0,0,0,0/0,0,福建,2016-12-16
