player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马布里,3,41:07,是,9-13,2-3,12-18,0,5,7,1,2,3,0,0,10,0/0,36,北京,2016-11-02
翟晓川,20,37:32,是,7-10,2-4,8-11,3,3,4,2,2,1,0,1,6,1/2,28,北京,2016-11-02
王骁辉,33,27:05,是,1-1,3-5,0-0,0,0,3,2,0,1,0,0,1,2/2,11,北京,2016-11-02
张松涛,35,13:02,是,2-2,0-0,0-0,0,1,0,2,1,0,0,0,1,0/0,4,北京,2016-11-02
吉喆,51,25:27,是,1-1,0-1,0-0,0,3,0,5,0,1,0,0,0,0/0,2,北京,2016-11-02
莫里斯,32,29:34,否,7-11,0-0,4-8,1,4,3,4,2,2,2,0,7,1/1,18,北京,2016-11-02
张庆鹏,18,19:56,否,2-2,3-3,2-2,0,4,1,1,1,2,0,0,1,0/0,15,北京,2016-11-02
朱彦西,13,27:57,否,1-2,2-6,0-0,0,3,0,5,0,0,0,0,3,0/0,8,北京,2016-11-02
方硕,8,08:10,否,1-1,0-1,2-2,0,1,3,0,0,1,0,0,2,0/0,4,北京,2016-11-02
段江鹏,11,10:10,否,0-0,1-1,0-0,0,1,0,1,1,0,0,0,1,0/0,3,北京,2016-11-02
未确认,--,--,--,0-0,0-0,0-0,0,4,0,0,0,1,0,0,0,0/0,0,北京,2016-11-02
琼斯,55,36:30,是,7-11,5-10,5-7,1,9,4,6,3,2,0,1,11,0/0,34,青岛,2016-11-02
张骋宇,6,46:29,是,8-11,3-7,1-2,1,4,7,3,1,4,0,0,1,1/1,26,青岛,2016-11-02
田嘉夫,14,24:26,是,1-1,5-6,2-2,1,1,0,6,0,0,0,0,1,0/0,19,青岛,2016-11-02
孙杰,17,40:24,是,1-2,5-9,0-0,0,0,2,4,1,1,0,0,1,1/1,17,青岛,2016-11-02
苏伟,9,25:47,是,2-3,0-0,0-1,2,1,2,5,1,2,0,0,1,0/0,4,青岛,2016-11-02
贝尼蒙-卡尔顿,20,34:35,否,8-13,0-0,8-10,2,6,4,3,1,3,1,0,6,0/0,24,青岛,2016-11-02
宗赞,13,07:22,否,0-1,0-0,2-2,0,1,0,1,0,0,0,0,1,0/0,2,青岛,2016-11-02
孙鐿滔,8,13:55,否,0-2,0-1,0-0,2,1,0,1,0,0,0,0,0,0/0,0,青岛,2016-11-02
刘书楠,7,08:04,否,0-1,0-2,0-0,0,0,0,2,0,0,0,0,1,0/0,0,青岛,2016-11-02
王庆明,32,02:28,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,青岛,2016-11-02
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,0,0/0,0,青岛,2016-11-02
