player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
杨敬敏,6,44,是,3-4,4-8,0-0,1,2,2,1,3,3,0,0,1,0/0,18,北控,2017-11-12
许梦君,9,32,是,2-2,3-4,2-2,1,4,1,0,2,0,0,0,2,0/0,15,北控,2017-11-12
阿巴斯,15,37,是,2-5,2-6,3-4,2,3,5,6,2,3,2,0,3,0/0,13,北控,2017-11-12
马布里,3,36,是,4-5,0-5,3-4,1,2,5,6,2,2,0,0,3,0/0,11,北控,2017-11-12
王征,28,14,是,1-2,0-0,1-2,0,3,0,2,0,0,0,0,1,0/0,3,北控,2017-11-12
兰多夫,42,35,否,8-17,2-5,15-22,2,16,0,5,0,1,3,0,15,0/0,37,北控,2017-11-12
于澍龙,5,11,否,1-1,0-0,5-5,0,0,0,0,2,0,0,0,4,0/0,7,北控,2017-11-12
贺希宁,0,15,否,1-4,1-2,0-0,2,2,0,0,0,1,0,0,0,0/0,5,北控,2017-11-12
于梁,11,8,否,0-1,0-0,2-2,0,0,2,1,0,0,0,0,1,0/0,2,北控,2017-11-12
杨庚霖,10,2,否,1-1,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,2,北控,2017-11-12
滕贺麒,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
李雪松,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-12
方硕,8,39,是,4-9,6-9,0-1,1,2,9,4,1,3,0,0,3,0/0,26,北京,2017-11-12
汉密尔顿,41,33,是,7-12,2-4,5-11,1,6,2,3,2,1,3,0,7,0/0,25,北京,2017-11-12
翟晓川,20,39,是,9-16,0-0,3-3,6,5,2,6,0,2,1,1,4,0/0,21,北京,2017-11-12
朱彦西,13,38,是,1-2,4-8,0-0,2,3,1,6,1,2,1,0,1,0/0,14,北京,2017-11-12
王骁辉,33,23,是,0-2,0-2,0-0,0,1,1,2,2,0,0,0,0,0/0,0,北京,2017-11-12
艾伦-杰克逊,7,35,否,6-10,1-6,1-2,0,5,7,3,1,1,0,0,3,0/0,16,北京,2017-11-12
段江鹏,11,16,否,0-0,1-2,0-0,0,0,1,2,0,0,0,0,1,0/0,3,北京,2017-11-12
吉喆,51,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
刘晓宇,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
王旭,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
张才仁,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
丘天,19,3,否,0-0,0-0,0-0,0,3,0,1,0,0,0,0,0,0/0,0,北京,2017-11-12
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
常林,23,8,否,0-1,0-2,0-2,1,1,0,3,0,3,0,0,1,0/0,0,北京,2017-11-12
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-11-12
