player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
麦克鲁姆,4,46:03,是,12-22,5-14,21-26,1,9,8,2,4,3,0,2,17,1/1,60,北控,2017-02-12
滕贺麒,8,28:05,是,1-3,2-5,2-3,0,1,0,6,0,0,0,0,3,0/0,10,北控,2017-02-12
宋康明,21,26:06,是,1-3,0-0,2-2,1,3,1,4,0,0,0,0,1,0/0,4,北控,2017-02-12
王振宇,27,20:11,是,1-3,0-3,1-2,2,1,0,4,1,0,0,0,2,0/0,3,北控,2017-02-12
贾俊龙,2,33:06,是,0-1,0-2,0-0,1,2,3,3,3,2,0,0,0,0/0,0,北控,2017-02-12
贺希宁,3,29:18,否,5-8,3-5,3-5,4,3,1,3,3,0,0,0,4,0/0,22,北控,2017-02-12
巴蒂斯塔,15,30:15,否,4-11,0-0,3-4,10,8,4,3,0,6,1,0,3,0/0,11,北控,2017-02-12
于梁,11,29:25,否,2-6,2-4,0-0,1,1,0,4,1,2,0,0,1,0/0,10,北控,2017-02-12
刘大鹏,20,14:24,否,2-2,0-4,0-0,0,1,0,1,2,0,0,0,0,0/0,4,北控,2017-02-12
孙伟博,10,03:24,否,0-1,0-1,0-0,0,0,0,1,1,0,0,0,0,0/0,0,北控,2017-02-12
何敬佳,18,04:43,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,北控,2017-02-12
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,北控,2017-02-12
J.A.布朗,55,37:18,是,9-20,0-0,18-23,1,4,3,3,3,7,1,2,21,3/3,36,吉林,2017-02-12
M.I.托马斯,9,39:42,是,8-12,1-3,4-4,8,16,8,3,1,2,1,1,7,0/0,23,吉林,2017-02-12
张彪,14,32:20,是,8-16,0-0,2-2,1,1,1,5,0,3,0,0,1,0/0,18,吉林,2017-02-12
柴长易,6,46:28,是,0-1,6-9,0-0,0,1,2,6,2,2,0,0,0,0/0,18,吉林,2017-02-12
蔡李龙,20,29:27,是,2-2,0-7,1-1,0,2,1,6,0,2,1,0,1,0/0,5,吉林,2017-02-12
钟诚,12,46:22,否,1-2,3-5,1-2,2,9,5,3,3,4,0,0,1,0/0,12,吉林,2017-02-12
李安,4,10:00,否,2-2,0-0,0-0,2,0,0,2,0,1,0,0,0,0/0,4,吉林,2017-02-12
梁程,10,16:44,否,0-2,0-1,2-2,0,2,2,3,0,1,0,0,2,0/0,2,吉林,2017-02-12
郭金林,21,05:56,否,0-2,0-0,0-0,0,0,0,0,1,1,0,0,0,0/0,0,吉林,2017-02-12
肖剑,11,00:43,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-02-12
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,0,0/0,0,吉林,2017-02-12
