player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马布里,3,38,是,7-15,2-4,3-4,0,2,6,1,2,2,0,0,5,0/0,23,北控,2017-12-23
杨敬敏,6,33,是,3-4,4-5,4-6,1,5,2,2,2,0,0,0,4,0/0,22,北控,2017-12-23
许梦君,9,38,是,0-3,6-11,0-0,0,2,2,6,0,1,0,0,0,0/0,18,北控,2017-12-23
杨庚霖,10,16,是,1-2,1-3,2-2,0,3,0,6,0,2,0,0,2,0/0,7,北控,2017-12-23
于梁,11,23,是,1-4,1-2,0-0,1,2,0,2,1,1,0,0,3,0/0,5,北控,2017-12-23
兰多夫,42,33,否,5-11,3-6,6-9,2,8,2,3,3,3,1,0,7,0/0,25,北控,2017-12-23
贺希宁,0,18,否,1-3,1-2,0-0,1,2,1,1,0,0,0,0,1,0/0,5,北控,2017-12-23
于澍龙,5,9,否,1-2,0-0,2-2,0,2,2,0,0,0,0,0,1,0/0,4,北控,2017-12-23
滕贺麒,8,19,否,1-2,0-1,1-2,0,3,1,4,0,0,0,0,1,0/0,3,北控,2017-12-23
王征,28,6,否,1-1,0-0,1-1,0,1,0,1,0,1,0,0,2,0/0,3,北控,2017-12-23
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
李雪松,7,1,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,北控,2017-12-23
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
阿巴斯,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-23
J.J-希克森,44,36,是,12-24,0-1,4-6,7,11,0,2,0,4,5,3,10,0/0,28,同曦,2017-12-23
冯欣,66,34,是,4-5,1-7,0-0,0,3,4,4,3,3,0,0,0,0/0,11,同曦,2017-12-23
巴赫拉米,14,40,是,4-15,0-3,2-4,8,8,3,6,1,1,1,0,7,0/0,10,同曦,2017-12-23
宋建骅,8,45,是,3-3,1-3,1-1,3,3,0,0,3,2,0,0,1,0/0,10,同曦,2017-12-23
郭一飞,10,26,是,1-2,1-6,2-2,0,1,1,5,2,0,0,0,2,0/0,7,同曦,2017-12-23
杰里米-帕戈,11,35,否,19-25,0-7,2-3,2,5,5,1,1,3,0,0,4,0/0,40,同曦,2017-12-23
买尔丹,33,6,否,0-1,0-0,2-2,0,2,0,3,0,0,0,0,1,0/0,2,同曦,2017-12-23
唐正东,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
周仪翔,6,4,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
乔文瀚,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
黄子恒,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
杨力,19,3,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,同曦,2017-12-23
张翌星,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
何敬佳,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
张财宝,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
魏政贤,2,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
王睿,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
冷振铎,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
于长春,16,6,否,0-0,0-1,0-0,0,0,0,3,0,0,0,0,0,0/0,0,同曦,2017-12-23
毕鹏飞,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
姜博,64,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2017-12-23
