player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
麦克鲁姆,4,46:24,是,12-22,3-10,18-19,2,4,3,4,3,7,1,1,14,2/2,51,北控,2017-01-01
王振宇,27,32:32,是,1-3,3-4,8-10,1,6,1,5,2,2,0,0,5,1/1,19,北控,2017-01-01
刘大鹏,20,39:13,是,1-5,1-6,0-0,1,3,0,5,3,1,1,0,1,0/0,5,北控,2017-01-01
杨敬敏,6,20:54,是,0-0,0-3,2-2,0,0,1,0,1,2,0,0,1,0/0,2,北控,2017-01-01
何重达,9,21:04,是,1-1,0-0,0-2,0,4,1,6,0,1,4,0,1,0/0,2,北控,2017-01-01
贺希宁,3,31:55,否,8-15,0-0,2-3,0,0,2,2,3,3,1,0,3,0/0,18,北控,2017-01-01
巴蒂斯塔,15,30:36,否,5-8,0-0,4-6,6,8,2,3,2,5,1,0,4,0/0,14,北控,2017-01-01
贾俊龙,2,08:47,否,1-1,0-0,0-1,0,0,1,2,1,0,0,0,2,0/0,2,北控,2017-01-01
于梁,11,21:48,否,0-4,0-1,0-0,1,3,1,3,0,1,0,0,0,0/0,0,北控,2017-01-01
滕贺麒,8,04:18,否,0-0,0-0,0-0,0,0,0,1,1,0,0,0,0,0/0,0,北控,2017-01-01
何敬佳,18,07:29,否,0-0,0-0,0-0,0,0,0,1,1,0,1,0,1,0/0,0,北控,2017-01-01
未确认,--,--,--,0-0,0-0,0-0,3,1,0,0,0,3,0,0,0,0/0,0,北控,2017-01-01
贾森-汤普森,1,43:33,是,13-17,0-0,7-10,4,13,3,3,2,4,0,5,7,0/0,33,山东,2017-01-01
丁彦雨航,2,48:56,是,8-19,3-7,6-8,1,3,6,1,0,8,0,1,9,3/3,31,山东,2017-01-01
张辉,4,27:43,是,1-2,1-3,1-2,3,7,1,5,1,0,1,0,3,0/0,6,山东,2017-01-01
睢冉,6,18:42,是,1-2,0-1,0-0,1,1,2,6,3,1,0,0,3,1/1,2,山东,2017-01-01
潘宁,5,01:51,是,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,0,山东,2017-01-01
邓特蒙,55,33:27,否,1-3,6-10,3-6,0,1,3,2,1,6,0,0,5,0/0,23,山东,2017-01-01
吴轲,15,27:42,否,5-7,0-1,2-2,0,3,0,6,1,1,0,1,2,0/0,12,山东,2017-01-01
杨力,19,19:09,否,2-2,0-1,1-2,1,3,2,3,1,2,1,0,2,0/0,5,山东,2017-01-01
贾诚,32,24:26,否,2-5,0-2,0-0,2,2,0,3,0,2,2,0,0,0/0,4,山东,2017-01-01
李敬宇,8,19:31,否,0-2,1-3,1-2,2,1,0,3,0,0,0,0,1,0/0,4,山东,2017-01-01
未确认,--,--,--,0-0,0-0,0-0,5,1,0,0,0,3,0,0,0,0/0,0,山东,2017-01-01
