player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
阿巴斯,15,43,是,10-18,2-7,3-5,4,9,7,2,0,2,2,0,6,0/0,29,北控,2017-12-09
马布里,3,37,是,5-8,3-10,2-4,0,8,5,2,1,3,0,0,5,0/0,21,北控,2017-12-09
王征,28,34,是,6-13,0-0,0-0,1,6,2,4,1,2,2,0,2,0/0,12,北控,2017-12-09
杨敬敏,6,41,是,2-5,1-3,0-0,2,7,4,1,1,1,0,0,0,0/0,7,北控,2017-12-09
李雪松,7,7,是,0-0,0-1,0-0,0,0,1,1,0,0,0,0,0,0/0,0,北控,2017-12-09
许梦君,9,27,否,3-3,4-7,1-1,0,0,0,2,0,1,0,0,1,0/0,19,北控,2017-12-09
于澍龙,5,30,否,3-3,1-2,3-3,1,2,4,0,0,0,1,0,3,0/0,12,北控,2017-12-09
宋康明,21,13,否,0-0,0-0,3-6,1,2,1,2,0,0,0,0,3,0/0,3,北控,2017-12-09
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
贺希宁,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
滕贺麒,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
于梁,11,4,否,0-0,0-1,0-0,0,0,1,1,0,0,0,0,0,0/0,0,北控,2017-12-09
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
兰多夫,42,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-09
易建联,9,37,是,6-19,1-2,6-7,6,9,2,2,0,2,1,2,7,0/0,21,广东,2017-12-09
埃德温-杰克逊,1,27,是,5-9,1-3,0-0,1,2,1,1,2,1,0,1,3,0/0,13,广东,2017-12-09
周湛东,3,29,是,0-1,2-4,0-0,0,1,1,4,0,2,0,0,0,0/0,6,广东,2017-12-09
周鹏,11,28,是,1-2,1-5,0-0,2,4,1,2,1,2,0,0,0,0/0,5,广东,2017-12-09
任骏飞,20,8,是,0-1,0-2,0-0,0,0,1,2,0,0,0,0,0,0/0,0,广东,2017-12-09
尼克尔森,44,44,否,16-27,2-3,0-1,5,10,7,3,3,2,0,1,4,0/0,38,广东,2017-12-09
王薪凯,5,26,否,0-0,3-5,0-0,1,0,3,2,0,0,0,0,0,0/0,9,广东,2017-12-09
杨金蒙,17,25,否,0-0,2-5,0-0,1,3,3,1,1,0,0,0,1,0/0,6,广东,2017-12-09
胡明轩,16,12,否,1-2,0-1,0-0,0,0,2,3,0,0,0,0,0,0/0,2,广东,2017-12-09
邵英伦,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-09
曾繁日,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-09
李佳益,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-09
赵戌宏,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-09
徐铭智,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-09
赵睿,0,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广东,2017-12-09
