player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马布里,3,35,是,7-11,2-3,4-4,1,3,7,3,1,3,0,0,2,0/0,24,北控,2017-12-19
阿巴斯,15,45,是,7-10,1-5,5-9,3,4,6,5,2,4,4,0,8,0/0,22,北控,2017-12-19
王征,28,11,是,4-4,0-0,0-0,2,6,0,2,0,1,1,0,0,0/0,8,北控,2017-12-19
杨敬敏,6,27,是,0-2,0-7,2-2,1,0,2,1,0,2,0,0,1,0/0,2,北控,2017-12-19
李雪松,7,14,是,0-2,0-0,0-0,0,1,0,2,0,0,0,0,1,0/0,0,北控,2017-12-19
兰多夫,42,36,否,7-15,7-11,4-7,5,11,0,5,0,6,1,2,6,0/0,39,北控,2017-12-19
许梦君,9,27,否,2-5,1-3,0-0,1,0,0,0,1,2,0,0,0,0/0,7,北控,2017-12-19
滕贺麒,8,14,否,1-2,0-1,2-2,0,0,0,5,3,0,0,0,5,0/0,4,北控,2017-12-19
贺希宁,0,11,否,0-2,0-1,2-2,0,1,1,5,3,0,0,0,1,0/0,2,北控,2017-12-19
于梁,11,2,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北控,2017-12-19
于澍龙,5,12,否,0-1,0-0,0-0,0,2,1,1,0,1,0,0,0,0/0,0,北控,2017-12-19
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-19
福特森,4,43,是,15-20,3-9,6-10,2,6,9,3,3,6,0,0,16,0/0,45,广厦,2017-12-19
苏若禹,5,27,是,4-6,0-0,3-4,1,3,0,4,0,1,0,0,2,0/0,11,广厦,2017-12-19
胡金秋,21,34,是,3-9,0-0,2-2,3,1,1,5,1,2,0,1,3,0/0,8,广厦,2017-12-19
刘铮,11,27,是,2-5,0-1,0-0,2,1,0,2,3,0,0,0,0,0/0,4,广厦,2017-12-19
林志杰,27,12,是,0-0,0-2,0-0,1,1,1,0,2,2,0,0,1,0/0,0,广厦,2017-12-19
博洛西斯,29,26,否,5-9,3-7,3-4,1,11,1,4,2,2,1,0,3,0/0,22,广厦,2017-12-19
李京龙,9,28,否,3-3,2-4,1-2,1,2,0,1,1,1,0,0,1,0/0,13,广厦,2017-12-19
赵岩昊,25,19,否,4-6,0-0,1-2,1,1,2,1,2,1,0,0,3,0/0,9,广厦,2017-12-19
鞠鹏,12,7,否,0-0,0-1,2-2,0,3,0,4,1,0,0,0,1,0/0,2,广厦,2017-12-19
孙铭徽,17,10,否,1-4,0-0,0-0,0,1,0,0,0,0,0,0,0,0/0,2,广厦,2017-12-19
赵天熠,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-19
赵大鹏,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-19
姜文,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-19
李金效,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-19
李斌,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-19
吴羽佳,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广厦,2017-12-19
