player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
皮埃尔-杰克逊,55,38,是,4-5,8-16,16-16,1,4,10,2,0,3,0,0,9,0/0,48,北控,2018-11-06
于梁,11,36,是,0-1,5-6,4-4,3,0,1,5,1,3,1,0,2,0/0,19,北控,2018-11-06
许梦君,9,35,是,0-4,4-8,0-0,2,0,0,5,2,0,0,0,0,0/0,12,北控,2018-11-06
刘大鹏,20,25,是,1-3,1-4,2-2,0,1,1,6,0,1,1,0,1,0/0,7,北控,2018-11-06
王征,28,15,是,1-3,0-0,2-2,1,4,0,1,0,0,0,0,2,0/0,4,北控,2018-11-06
兰多夫,42,33,否,7-14,2-3,2-8,4,10,1,4,4,3,1,2,13,0/0,22,北控,2018-11-06
于澍龙,5,24,否,1-2,1-3,8-8,0,2,3,3,0,3,0,0,6,0/0,13,北控,2018-11-06
张帆,3,20,否,1-3,1-3,0-0,0,0,2,3,0,1,0,0,1,0/0,5,北控,2018-11-06
刘博,24,10,否,1-1,0-0,0-0,1,0,0,0,1,1,0,0,0,0/0,2,北控,2018-11-06
常亚松,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
杨敬敏,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
孙贺男,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
王振宇,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
张铭浩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-06
弗格,18,37,是,10-15,6-11,14-15,4,4,3,1,0,3,0,0,13,0/0,52,广州,2018-11-06
斯贝茨,5,34,是,10-15,2-5,8-10,2,5,2,3,0,4,1,0,6,0/0,34,广州,2018-11-06
西热力江,20,33,是,0-1,3-11,0-0,1,3,4,3,0,1,0,0,2,0/0,9,广州,2018-11-06
张永鹏,33,21,是,4-5,0-0,0-0,3,2,0,5,1,2,1,1,1,0/0,8,广州,2018-11-06
鞠明欣,8,26,是,2-2,0-1,3-4,1,4,1,4,2,1,0,0,2,0/0,7,广州,2018-11-06
郭凯,14,24,否,5-5,0-0,0-0,3,3,3,6,0,0,0,0,0,0/0,10,广州,2018-11-06
陈盈骏,2,33,否,1-4,1-5,0-0,0,2,4,4,3,1,0,0,3,0/0,5,广州,2018-11-06
孙鸣阳,12,14,否,1-4,0-0,2-2,1,2,1,6,0,1,0,0,1,0/0,4,广州,2018-11-06
衡艺丰,21,6,否,1-1,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,2,广州,2018-11-06
李炎哲,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
司坤,6,8,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,1,0/0,0,广州,2018-11-06
宋帅,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
姚天一,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
史俊,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
郑准,50,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
谷玥灼,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
王玥,32,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
田宇恒,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2018-11-06
