player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
皮埃尔-杰克逊,55,40,是,4-10,3-12,11-12,1,4,9,0,2,2,0,0,14,0/0,28,北控,2018-11-20
张帆,3,33,是,5-7,2-3,0-0,0,3,2,6,2,1,0,0,0,0/0,16,北控,2018-11-20
许梦君,9,36,是,3-6,3-5,0-0,0,1,0,2,2,0,0,0,2,0/0,15,北控,2018-11-20
王征,28,34,是,6-9,0-0,1-2,3,5,0,5,0,0,0,0,2,0/0,13,北控,2018-11-20
于梁,11,23,是,1-1,0-4,0-2,0,2,0,5,0,0,0,0,1,0/0,2,北控,2018-11-20
兰多夫,42,28,否,2-8,1-4,8-9,0,7,1,2,4,1,0,1,8,0/0,15,北控,2018-11-20
常亚松,7,7,否,0-2,1-2,0-0,1,2,1,4,0,1,0,0,0,0/0,3,北控,2018-11-20
杨敬敏,6,20,否,0-1,1-3,0-0,1,2,1,1,2,2,0,0,1,0/0,3,北控,2018-11-20
于澍龙,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
刘博,24,4,否,0-0,0-0,0-0,1,2,0,1,0,0,0,0,0,0/0,0,北控,2018-11-20
景浩扬,12,4,否,0-0,0-0,0-2,0,0,0,0,0,0,0,0,1,0/0,0,北控,2018-11-20
王梓旭,1,3,否,0-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,北控,2018-11-20
孙贺男,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
王振宇,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
刘大鹏,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
张铭浩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-20
唐纳德-斯隆,1,37,是,4-11,5-8,4-4,0,6,2,2,0,5,0,0,6,0/0,27,江苏,2018-11-20
易立,8,38,是,6-9,1-3,8-10,2,4,4,1,0,2,0,1,9,0/0,23,江苏,2018-11-20
柳伟,15,19,是,1-1,1-4,4-4,1,0,1,3,0,1,0,0,2,0/0,9,江苏,2018-11-20
史鸿飞,4,37,是,0-0,2-3,0-0,1,3,1,2,0,2,0,0,0,0/0,6,江苏,2018-11-20
吴冠希,11,22,是,1-5,0-0,3-4,4,8,2,6,0,2,1,0,2,0/0,5,江苏,2018-11-20
拉杜利察,13,28,否,7-15,0-0,0-0,2,3,3,5,0,0,0,2,2,0/0,14,江苏,2018-11-20
李原宇,16,24,否,4-7,0-0,0-0,2,5,0,4,1,2,0,0,5,0/0,8,江苏,2018-11-20
曹飞,23,18,否,2-3,0-1,2-2,0,3,0,4,0,2,0,0,1,0/0,6,江苏,2018-11-20
侯逸凡,31,13,否,1-1,0-3,0-0,0,2,1,2,1,2,0,0,0,0/0,2,江苏,2018-11-20
赵率舟,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
刘宇轩,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
孙鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-11-20
