player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
阿巴斯,15,43,是,4-13,1-6,6-7,4,10,6,5,1,1,1,0,6,0/0,17,北控,2017-12-05
马布里,3,36,是,6-11,0-3,0-0,1,1,3,0,1,1,0,0,1,0/0,12,北控,2017-12-05
王征,28,24,是,3-7,0-0,3-4,1,6,0,3,0,1,0,0,2,0/0,9,北控,2017-12-05
杨敬敏,6,35,是,3-10,0-3,2-2,1,5,3,5,1,1,0,0,2,0/0,8,北控,2017-12-05
滕贺麒,8,18,是,0-1,0-3,2-2,1,0,0,3,1,0,0,0,2,0/0,2,北控,2017-12-05
兰多夫,42,36,否,10-18,6-9,4-5,2,7,0,3,1,0,0,1,4,0/0,42,北控,2017-12-05
于澍龙,5,15,否,1-1,1-1,0-0,0,0,1,3,0,0,0,0,0,0/0,5,北控,2017-12-05
宋康明,21,3,否,1-1,0-0,1-1,0,1,0,0,0,0,0,0,1,0/0,3,北控,2017-12-05
贺希宁,0,10,否,1-4,0-0,0-0,0,0,1,0,0,1,0,0,0,0/0,2,北控,2017-12-05
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
李雪松,7,6,否,0-2,0-0,0-0,0,0,1,1,1,0,0,0,0,0/0,0,北控,2017-12-05
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
杨庚霖,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
于梁,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
许梦君,9,9,否,0-1,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,北控,2017-12-05
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-12-05
萨林杰,0,43,是,13-20,3-7,7-11,3,21,2,2,1,1,1,0,8,0/0,42,深圳,2017-12-05
顾全,12,39,是,6-8,2-6,1-4,1,2,0,1,1,4,0,0,5,0/0,19,深圳,2017-12-05
于德豪,19,36,是,1-3,2-3,2-2,2,8,4,4,0,0,0,0,2,0/0,10,深圳,2017-12-05
李慕豪,9,18,是,2-6,0-0,0-2,1,2,2,2,0,1,0,1,3,0/0,4,深圳,2017-12-05
白昊天,10,18,是,1-1,0-1,2-2,0,0,1,0,0,1,0,0,1,0/0,4,深圳,2017-12-05
朗福德,5,30,否,4-9,1-4,2-4,2,3,2,2,0,2,0,0,4,0/0,13,深圳,2017-12-05
沈梓捷,28,24,否,3-5,0-0,2-2,1,2,2,2,0,1,2,1,1,0/0,8,深圳,2017-12-05
何忠勉,20,20,否,1-2,0-2,0-0,0,1,0,4,1,0,1,0,0,0/0,2,深圳,2017-12-05
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
杨林祎,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
郭晓鹏,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
王昱尧,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
邱彪,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
卢艺文,55,7,否,0-0,0-0,0-0,0,3,1,1,1,2,0,0,0,0/0,0,深圳,2017-12-05
孟铎,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2017-12-05
