player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
阿巴斯,15,42,是,4-11,2-6,2-2,3,7,4,4,4,2,4,0,2,0/0,16,北控,2017-11-14
许梦君,9,41,是,2-8,3-11,1-1,3,5,1,2,2,2,0,0,2,0/0,14,北控,2017-11-14
王征,28,14,是,2-4,0-0,1-2,1,7,0,0,0,1,1,0,1,0/0,5,北控,2017-11-14
马布里,3,39,是,1-3,1-4,0-0,1,1,2,3,5,1,2,0,2,0/0,5,北控,2017-11-14
杨敬敏,6,19,是,2-3,0-6,0-0,0,2,2,1,0,0,0,0,1,0/0,4,北控,2017-11-14
兰多夫,42,32,否,5-25,0-8,1-4,12,9,0,5,0,1,0,0,3,0/0,11,北控,2017-11-14
滕贺麒,8,17,否,1-2,2-3,0-0,0,2,1,1,1,1,0,0,1,0/0,8,北控,2017-11-14
杨庚霖,10,7,否,2-3,1-2,0-0,1,0,0,0,2,0,0,0,0,0/0,7,北控,2017-11-14
于澍龙,5,8,否,0-0,1-2,0-0,2,1,0,1,0,1,0,0,1,0/0,3,北控,2017-11-14
贺希宁,0,17,否,1-3,0-3,0-0,1,1,3,0,1,2,1,0,0,0/0,2,北控,2017-11-14
李雪松,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
夏宇彤,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
宋康明,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
景浩扬,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
于梁,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
贾俊龙,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2017-11-14
哈里斯,33,37,是,5-8,2-7,0-0,2,14,2,3,1,3,1,0,0,0/0,16,福建,2017-11-14
赵泰隆,73,40,是,2-4,3-7,2-2,0,3,1,1,1,1,0,0,2,0/0,15,福建,2017-11-14
陈林坚,15,39,是,1-3,2-7,0-0,0,4,1,0,3,3,1,0,0,0/0,8,福建,2017-11-14
李江淮,5,18,是,2-4,0-1,2-3,2,2,2,2,0,1,0,0,2,0/0,6,福建,2017-11-14
孙喆,17,37,是,0-5,0-0,0-0,3,6,1,3,1,1,4,0,1,0/0,0,福建,2017-11-14
史密斯,2,33,否,9-14,5-12,9-9,0,6,4,4,1,7,0,0,10,0/0,42,福建,2017-11-14
何重达,11,19,否,0-1,0-0,2-4,3,9,0,0,2,0,0,0,2,0/0,2,福建,2017-11-14
田桂森,0,2,否,1-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,2,福建,2017-11-14
谢亚财,30,1,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
杨凯,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
王哲林,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
王增杰,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
周启新,1,2,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
蔡晨,7,1,否,0-1,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,福建,2017-11-14
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2017-11-14
黄毅超,14,5,否,0-1,0-0,0-0,0,1,0,0,0,2,0,0,0,0/0,0,福建,2017-11-14
