player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
麦克鲁姆,4,39:20,是,11-19,2-6,14-18,6,2,0,0,4,7,0,0,12,2/2,42,北控,2017-02-15
贺希宁,3,34:30,是,4-8,0-1,4-4,1,1,2,2,2,1,0,0,2,1/1,12,北控,2017-02-15
杨敬敏,6,33:08,是,3-8,1-4,0-0,0,2,3,1,5,3,0,0,4,1/1,9,北控,2017-02-15
于梁,11,34:14,是,1-6,2-3,0-0,2,3,1,3,0,1,0,0,0,0/0,8,北控,2017-02-15
宋康明,21,05:07,是,0-1,0-0,0-0,1,2,0,1,0,0,0,0,0,0/0,0,北控,2017-02-15
巴蒂斯塔,15,32:40,否,9-13,0-0,1-2,3,2,4,3,1,3,4,0,3,0/0,19,北控,2017-02-15
滕贺麒,8,21:18,否,1-3,2-4,0-0,0,1,0,4,1,0,0,0,2,1/1,8,北控,2017-02-15
王振宇,27,13:46,否,0-3,1-1,0-0,1,3,0,1,1,0,0,0,0,0/0,3,北控,2017-02-15
何重达,9,10:13,否,1-3,0-0,1-4,2,2,0,1,0,0,0,0,2,0/0,3,北控,2017-02-15
孙伟博,10,05:40,否,0-0,0-0,0-0,0,0,0,2,0,3,0,0,0,0/0,0,北控,2017-02-15
何敬佳,18,06:43,否,0-1,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,北控,2017-02-15
夏宇彤,13,03:21,否,0-2,0-0,0-0,1,0,0,0,0,0,0,0,0,0/0,0,北控,2017-02-15
未确认,--,--,--,0-0,0-0,0-0,4,0,0,0,0,0,0,0,0,0/0,0,北控,2017-02-15
郭艾伦,13,31:45,是,10-18,0-3,2-2,3,5,2,3,2,3,0,0,7,2/2,22,辽宁,2017-02-15
哈德森,14,36:14,是,2-6,5-15,0-0,0,4,3,5,2,5,1,0,3,0/0,19,辽宁,2017-02-15
韩德君,55,25:08,是,8-12,0-0,2-3,7,4,1,1,2,0,1,0,4,0/0,18,辽宁,2017-02-15
廉明,21,27:24,是,4-6,0-0,0-0,3,4,3,1,0,1,0,0,0,1/1,8,辽宁,2017-02-15
刘志轩,11,33:56,是,3-4,0-1,0-0,1,0,2,4,1,3,0,0,0,0/0,6,辽宁,2017-02-15
兰多夫,42,33:50,否,15-25,1-2,3-3,8,10,1,2,0,2,2,5,2,0/0,36,辽宁,2017-02-15
杨鸣,12,14:12,否,3-3,0-0,0-0,0,1,0,2,2,0,0,0,1,0/0,6,辽宁,2017-02-15
赵继伟,3,24:32,否,1-4,0-0,0-0,1,0,4,4,3,4,0,0,1,1/1,2,辽宁,2017-02-15
卫猛,23,09:38,否,1-3,0-0,0-0,1,2,0,1,0,1,0,0,1,0/0,2,辽宁,2017-02-15
高诗岩,1,03:21,否,0-1,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,辽宁,2017-02-15
未确认,--,--,--,0-0,0-0,0-0,3,2,0,0,0,2,0,0,0,0/0,0,辽宁,2017-02-15
