player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
崔晋铭,5,48:00,是,4-6,2-5,2-2,0,1,4,1,4,4,1,0,1,1/2,16,吉林,2016-11-16
M.I.托马斯,9,37:34,是,5-11,0-1,3-3,6,15,7,2,1,0,1,0,2,2/2,13,吉林,2016-11-16
张彪,14,19:14,是,3-6,0-0,3-4,3,1,0,4,0,1,2,0,2,0/0,9,吉林,2016-11-16
柴长易,6,24:44,是,2-3,1-3,1-1,0,2,1,1,0,1,0,0,2,0/0,8,吉林,2016-11-16
卡姆拉尼,7,22:35,是,0-1,1-8,1-1,1,4,0,3,2,1,1,0,1,0/0,4,吉林,2016-11-16
J.A.布朗,55,33:14,否,7-12,5-10,16-19,0,4,2,5,1,3,0,1,13,4/4,45,吉林,2016-11-16
李安,4,07:00,否,2-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,4,吉林,2016-11-16
蔡李龙,20,15:23,否,0-0,1-5,0-0,0,1,0,2,0,2,0,0,0,0/0,3,吉林,2016-11-16
钟诚,12,32:16,否,1-1,0-3,0-0,1,4,2,3,1,1,0,0,1,0/0,2,吉林,2016-11-16
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,0,0,0,2,0/0,0,吉林,2016-11-16
弗雷戴特,32,40:50,是,8-20,5-12,5-5,4,12,7,3,4,4,0,0,6,2/3,36,上海,2016-11-16
翟逸,22,20:29,是,3-5,1-1,3-3,3,1,1,6,3,1,0,0,3,1/1,12,上海,2016-11-16
刘晓宇,10,42:21,是,1-2,2-5,3-5,0,4,5,2,1,3,1,0,4,1/1,11,上海,2016-11-16
张兆旭,23,35:30,是,4-5,0-0,2-2,2,4,1,3,0,0,3,3,2,0/0,10,上海,2016-11-16
曾文鼎,76,31:48,是,0-1,3-7,0-0,0,6,1,3,2,0,0,0,1,0/0,9,上海,2016-11-16
亚布塞莱,16,28:40,否,4-8,2-6,3-4,3,1,1,2,0,3,1,1,2,0/0,17,上海,2016-11-16
卢伟,12,28:21,否,0-0,2-6,0-2,0,1,0,1,0,0,0,0,2,0/0,6,上海,2016-11-16
任鹏鹏,3,02:06,否,0-0,0-0,2-2,0,0,0,1,0,1,0,0,1,0/0,2,上海,2016-11-16
蔡亮,1,09:55,否,0-2,0-0,0-0,0,1,0,2,1,0,0,0,0,0/0,0,上海,2016-11-16
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,1,0,0,0,0/0,0,上海,2016-11-16
