player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
兰德里,24,32,是,10-15,0-1,8-8,2,4,1,4,1,1,0,2,6,0/0,28,吉林,2017-12-03
高诗岩,0,44,是,6-8,1-2,0-0,2,10,4,4,5,4,1,0,5,0/0,15,吉林,2017-12-03
张彪,14,17,是,3-10,0-0,0-0,4,1,0,2,0,2,0,0,1,0/0,6,吉林,2017-12-03
崔晋铭,5,42,是,0-4,1-2,0-0,0,3,1,4,1,3,0,0,1,0/0,3,吉林,2017-12-03
柴长易,6,15,是,0-0,0-1,0-0,0,2,1,0,0,2,0,0,0,0/0,0,吉林,2017-12-03
韦弗,13,39,否,7-15,4-11,7-7,0,7,3,0,1,2,0,0,7,0/0,33,吉林,2017-12-03
李安,4,34,否,3-7,0-0,0-0,3,6,2,2,1,2,2,0,0,0/0,6,吉林,2017-12-03
代怀博,22,7,否,2-4,0-1,0-0,1,1,0,2,0,0,0,0,0,0/0,4,吉林,2017-12-03
刘天意,1,2,否,1-1,0-0,0-0,0,0,0,0,0,1,0,0,0,0/0,2,吉林,2017-12-03
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-03
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-03
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-03
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-03
姚天一,3,3,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,吉林,2017-12-03
蔡李龙,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-03
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-12-03
方硕,8,34,是,4-6,3-15,0-0,3,0,3,2,4,7,0,0,4,0/0,17,北京,2017-12-03
王骁辉,33,31,是,3-4,1-5,0-0,1,5,2,2,3,0,0,0,2,0/0,9,北京,2017-12-03
汉密尔顿,41,34,是,4-13,0-1,1-1,2,9,1,4,0,1,2,0,2,0/0,9,北京,2017-12-03
朱彦西,13,18,是,1-2,1-2,0-0,2,3,1,2,0,1,2,0,1,0/0,5,北京,2017-12-03
王旭,4,7,是,0-0,1-1,0-0,1,0,0,1,0,0,0,0,1,0/0,3,北京,2017-12-03
艾伦-杰克逊,7,37,否,7-12,1-4,5-6,0,4,10,1,0,3,0,0,7,0/0,22,北京,2017-12-03
张才仁,16,18,否,2-3,1-2,0-0,1,1,1,1,0,1,0,0,0,0/0,7,北京,2017-12-03
常林,23,15,否,1-2,1-2,1-2,1,0,0,4,0,0,0,0,1,0/0,6,北京,2017-12-03
丘天,19,6,否,3-3,0-0,0-0,2,2,0,1,0,0,1,1,0,0/0,6,北京,2017-12-03
吉喆,51,19,否,2-2,0-3,0-0,1,1,0,1,1,0,0,0,0,0/0,4,北京,2017-12-03
段江鹏,11,17,否,0-3,0-2,0-0,0,2,0,1,1,0,0,0,1,0/0,0,北京,2017-12-03
翟晓川,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
段鸿瑞,29,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
张卓,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
赵梓壹,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
王鑫磊,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
刘晓宇,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
张松涛,35,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北京,2017-12-03
