player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,39,是,7-17,1-5,12-13,3,10,12,3,0,3,0,0,11,0/0,29,吉林,2018-11-01
崔晋铭,5,42,是,4-6,2-5,7-7,0,5,2,2,1,2,0,0,4,0/0,21,吉林,2018-11-01
张彪,14,23,是,6-11,0-0,2-2,0,5,0,5,0,2,0,0,2,0/0,14,吉林,2018-11-01
姜宇星,13,30,是,4-5,0-1,2-2,1,1,3,6,1,1,1,0,2,0/0,10,吉林,2018-11-01
李安,4,13,是,0-3,0-0,2-2,1,0,0,2,0,0,2,0,1,0/0,2,吉林,2018-11-01
马齐-兰佩,30,32,否,7-8,1-7,2-4,6,6,2,1,4,2,2,0,4,0/0,19,吉林,2018-11-01
代怀博,36,26,否,3-4,3-6,0-2,3,4,2,0,0,0,1,0,2,0/0,15,吉林,2018-11-01
柴长易,6,31,否,0-0,3-10,2-4,1,3,1,0,1,0,0,0,3,0/0,11,吉林,2018-11-01
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
姜伟泽,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-01
皮埃尔-杰克逊,55,43,是,6-14,13-16,7-7,0,6,10,2,1,2,0,0,9,0/0,58,北控,2018-11-01
王征,28,28,是,7-11,0-0,4-5,4,9,0,2,1,0,1,0,3,0/0,18,北控,2018-11-01
于梁,11,33,是,2-4,4-9,0-0,1,5,4,5,1,3,0,0,0,0/0,16,北控,2018-11-01
许梦君,9,36,是,0-1,4-8,1-2,2,1,2,5,0,0,0,0,3,0/0,13,北控,2018-11-01
刘大鹏,20,19,是,1-1,0-2,0-0,1,1,2,4,1,0,1,0,0,0/0,2,北控,2018-11-01
兰多夫,42,28,否,7-13,3-8,3-5,3,3,1,4,1,0,0,1,4,0/0,26,北控,2018-11-01
张帆,3,25,否,0-0,1-3,0-0,2,1,2,6,0,0,0,0,0,0/0,3,北控,2018-11-01
于澍龙,5,4,否,0-1,0-0,0-0,0,1,1,0,1,1,0,0,0,0/0,0,北控,2018-11-01
常亚松,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
杨敬敏,6,7,否,0-1,0-1,0-0,0,1,1,1,0,1,0,0,0,0/0,0,北控,2018-11-01
刘博,24,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
景浩扬,12,7,否,0-0,0-2,0-0,1,0,1,0,1,0,0,0,0,0/0,0,北控,2018-11-01
王梓旭,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
孙贺男,31,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
王振宇,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
张铭浩,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
杨庚霖,10,4,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,北控,2018-11-01
刘哲男,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,北控,2018-11-01
