player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
M.I.托马斯,9,43:47,是,8-16,4-8,2-4,7,9,5,6,0,1,3,3,4,2/3,30,吉林,2016-12-18
崔晋铭,5,43:04,是,9-14,0-2,11-13,1,2,8,2,5,5,0,0,8,3/5,29,吉林,2016-12-18
张彪,14,23:35,是,6-11,0-0,0-0,1,2,1,4,0,0,0,0,5,1/1,12,吉林,2016-12-18
刘天意,1,19:00,是,1-5,0-1,2-2,1,3,2,4,0,1,1,0,1,0/0,4,吉林,2016-12-18
柴长易,6,16:36,是,0-0,0-2,1-2,0,0,1,1,0,0,0,0,2,1/2,1,吉林,2016-12-18
蔡李龙,20,35:17,否,4-6,4-7,0-0,1,3,1,1,0,1,0,0,2,0/1,20,吉林,2016-12-18
钟诚,12,29:19,否,0-0,2-10,0-0,0,4,3,3,2,0,0,0,1,0/0,6,吉林,2016-12-18
李安,4,09:33,否,2-4,0-1,0-0,2,2,0,3,0,0,0,0,0,2/2,4,吉林,2016-12-18
金明,2,19:49,否,0-1,0-3,0-0,0,2,3,3,1,1,0,0,0,0/0,0,吉林,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,0,3,0,0,0,0,0,0,1,0/0,0,吉林,2016-12-18
康宁汉姆,6,36:54,是,4-9,6-12,16-21,0,7,1,2,2,3,1,1,17,6/6,42,同曦,2016-12-18
冯欣,66,43:15,是,4-9,4-6,2-2,2,5,7,5,0,1,0,0,2,1/1,22,同曦,2016-12-18
唐正东,9,39:33,是,5-10,0-0,2-4,7,12,3,2,0,3,1,0,3,0/0,12,同曦,2016-12-18
宋建骅,8,41:14,是,1-2,1-3,0-0,0,0,2,5,1,1,0,0,1,0/0,5,同曦,2016-12-18
郭一飞,10,17:36,是,0-1,0-2,0-0,1,3,2,2,1,1,0,0,0,0/0,0,同曦,2016-12-18
迪奥古,50,35:06,否,9-14,4-8,1-1,3,10,2,5,1,3,1,0,4,1/1,31,同曦,2016-12-18
范成林,35,13:04,否,0-0,3-4,0-0,0,2,0,3,0,1,0,0,0,0/0,9,同曦,2016-12-18
马壮,5,08:33,否,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2016-12-18
张财宝,22,04:45,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,同曦,2016-12-18
未确认,--,--,--,0-0,0-0,0-0,1,1,0,0,0,1,0,0,0,0/0,0,同曦,2016-12-18
