player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
韦弗,13,36,是,8-10,6-9,2-2,0,11,3,1,1,4,1,0,4,0/0,36,吉林,2018-01-16
蔡李龙,20,40,是,4-5,1-10,0-1,1,4,1,2,3,2,0,0,1,0/0,11,吉林,2018-01-16
张彪,14,19,是,4-7,0-0,2-2,2,0,2,5,0,2,0,0,2,0/0,10,吉林,2018-01-16
崔晋铭,5,21,是,3-3,0-2,3-4,1,0,0,4,2,0,0,0,2,0/0,9,吉林,2018-01-16
李安,4,35,是,3-9,0-0,2-2,3,6,0,6,2,4,1,1,2,0/0,8,吉林,2018-01-16
兰德里,24,34,否,11-15,1-2,6-7,3,3,3,2,3,4,1,2,6,0/0,31,吉林,2018-01-16
高诗岩,0,32,否,2-4,0-2,2-2,0,9,9,5,3,1,0,0,4,0/0,6,吉林,2018-01-16
郭金林,21,12,否,0-0,1-2,0-0,1,0,0,0,1,1,0,0,0,0/0,3,吉林,2018-01-16
王镤,23,5,否,0-2,0-0,0-0,1,1,1,4,0,0,0,0,3,0/0,0,吉林,2018-01-16
柴长易,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-16
代怀博,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-16
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-16
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-16
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-16
姚天一,3,2,否,0-0,0-0,0-0,0,1,0,0,0,1,0,0,0,0/0,0,吉林,2018-01-16
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-16
普-杰特,3,35,是,3-8,2-7,11-11,0,4,7,2,4,2,0,0,12,0/0,23,天津,2018-01-16
张智涵,9,40,是,7-8,0-5,0-0,1,5,0,4,2,3,0,0,0,0/0,14,天津,2018-01-16
李荣培,7,38,是,4-9,1-3,1-2,2,1,3,3,1,3,0,0,4,0/0,12,天津,2018-01-16
徐磊,5,21,是,1-3,1-4,2-2,0,2,3,2,0,1,1,0,1,0/0,7,天津,2018-01-16
时德帅,23,20,是,1-2,0-0,4-4,1,3,0,2,1,4,0,0,3,0/0,6,天津,2018-01-16
德里克-威廉姆斯,24,34,否,4-6,3-6,5-7,2,2,1,3,1,5,1,2,8,0/0,22,天津,2018-01-16
田垒,1,24,否,1-2,2-5,0-0,1,1,1,4,0,1,1,0,0,0/0,8,天津,2018-01-16
史仪,22,13,否,1-3,0-1,0-0,0,2,1,2,2,2,0,0,0,0/0,2,天津,2018-01-16
刘伟,12,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
金鑫,10,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
陈卓,8,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
田野,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
张晓阳,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
韩博林,6,9,否,0-0,0-1,0-0,0,1,0,2,1,0,0,0,0,0/0,0,天津,2018-01-16
高森堡,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
张骥,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
于刚,77,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
孟祥龙,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,天津,2018-01-16
