player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,43,是,13-24,2-5,12-15,3,8,3,3,1,1,0,1,15,0/0,44,吉林,2018-10-23
张彪,14,30,是,4-5,0-0,6-7,2,3,1,5,1,1,1,0,5,0/0,14,吉林,2018-10-23
崔晋铭,5,37,是,4-6,0-5,4-8,0,4,3,3,0,5,0,0,5,0/0,12,吉林,2018-10-23
李安,4,30,是,2-5,0-0,2-2,2,1,0,3,0,0,1,0,1,0/0,6,吉林,2018-10-23
姜宇星,13,39,是,2-4,0-1,0-0,0,3,1,6,4,0,0,0,0,0/0,4,吉林,2018-10-23
马齐-兰佩,30,28,否,9-14,2-4,3-7,5,5,1,4,0,2,0,0,4,0/0,27,吉林,2018-10-23
柴长易,6,20,否,0-1,1-2,6-6,0,3,1,1,1,1,0,0,3,0/0,9,吉林,2018-10-23
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
代怀博,36,6,否,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,0/0,0,吉林,2018-10-23
夏钰博,15,1,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-10-23
姜伟泽,11,1,否,0-0,0-0,0-0,0,1,0,1,0,0,0,0,0,0/0,0,吉林,2018-10-23
莫泰尤纳斯,12,39,是,11-17,2-2,8-14,2,13,5,1,1,1,1,1,12,0/0,36,山东,2018-10-23
吴楠,38,28,是,3-3,1-7,0-0,0,0,1,6,2,0,0,0,1,0/0,9,山东,2018-10-23
王汝恒,24,26,是,3-5,1-4,0-0,1,4,5,6,1,2,0,0,0,0/0,9,山东,2018-10-23
贾诚,23,23,是,2-8,0-1,3-4,3,1,0,6,0,1,0,0,2,0/0,7,山东,2018-10-23
张春军,27,24,是,0-0,1-2,0-0,3,2,3,6,1,0,0,0,1,0/0,3,山东,2018-10-23
古德洛克,3,32,否,3-8,7-13,2-2,0,2,1,3,1,0,0,0,6,0/0,29,山东,2018-10-23
朱荣振,35,12,否,5-5,0-0,2-2,2,2,0,1,0,1,1,0,1,0/0,12,山东,2018-10-23
张庆鹏,9,26,否,1-2,2-6,4-4,0,0,6,2,1,2,0,0,4,0/0,12,山东,2018-10-23
陶汉林,20,16,否,1-3,0-0,0-0,2,3,0,2,0,0,0,0,0,0/0,2,山东,2018-10-23
吴轲,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-10-23
潘宁,5,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-10-23
李林,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-10-23
李泓翰,7,9,否,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-10-23
张辉,4,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-10-23
文雁行,17,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,山东,2018-10-23
