player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
M.I.托马斯,9,44:20,是,5-13,1-5,10-11,8,14,5,3,1,1,1,1,11,3/4,23,吉林,2016-11-11
卡姆拉尼,7,42:43,是,3-8,3-8,5-6,3,4,5,4,2,1,0,0,5,4/4,20,吉林,2016-11-11
张彪,14,23:09,是,9-13,0-0,0-1,0,1,0,5,1,2,0,0,3,1/1,18,吉林,2016-11-11
崔晋铭,5,44:24,是,6-10,1-7,2-3,1,4,5,5,4,2,0,1,4,3/3,17,吉林,2016-11-11
柴长易,6,31:42,是,2-5,1-3,4-6,0,1,1,4,0,1,0,0,5,1/1,11,吉林,2016-11-11
钟诚,12,25:32,否,2-3,3-8,0-0,0,5,2,4,3,3,1,0,0,0/0,13,吉林,2016-11-11
蔡李龙,20,18:01,否,0-0,0-3,0-0,1,2,0,1,0,0,0,0,1,0/0,0,吉林,2016-11-11
郭金林,21,04:33,否,0-1,0-0,0-0,0,0,0,3,1,1,0,0,0,0/0,0,吉林,2016-11-11
李安,4,02:32,否,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2016-11-11
刘天意,1,02:51,否,0-0,0-0,0-0,0,0,0,0,0,1,0,0,1,0/0,0,吉林,2016-11-11
肖剑,11,00:13,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,吉林,2016-11-11
未确认,--,--,--,0-0,0-0,0-0,4,2,0,1,0,1,0,0,0,0/0,0,吉林,2016-11-11
原帅,7,38:27,是,0-1,5-12,2-2,0,1,0,6,0,2,0,0,1,2/3,17,山西,2016-11-11
戴勒姆波特,1,29:57,是,4-6,0-0,2-6,4,8,1,2,0,5,2,2,4,0/0,10,山西,2016-11-11
任骏威,21,27:53,是,0-0,2-6,0-0,0,5,2,4,1,3,0,0,0,0/0,6,山西,2016-11-11
王磊,8,21:11,是,1-4,0-0,2-4,2,1,1,1,0,0,0,0,3,1/1,4,山西,2016-11-11
曾令旭,6,09:36,是,1-1,0-0,0-0,0,0,0,2,1,6,0,0,0,0/0,2,山西,2016-11-11
富兰克林,11,42:03,否,6-9,1-9,19-20,2,11,7,4,5,3,2,0,21,2/3,34,山西,2016-11-11
闫鹏飞,9,28:40,否,4-11,0-0,2-2,3,3,0,5,0,3,5,0,1,1/1,10,山西,2016-11-11
罗智,10,17:34,否,1-2,1-5,0-0,0,2,0,1,0,0,0,0,0,0/1,5,山西,2016-11-11
田桂森,3,06:13,否,2-2,0-0,1-1,0,2,0,1,0,1,0,0,1,0/0,5,山西,2016-11-11
张学文,33,11:16,否,0-0,0-1,0-0,0,1,0,0,1,1,0,0,0,0/0,0,山西,2016-11-11
邢志强,12,07:10,否,0-0,0-2,0-0,0,1,1,4,0,0,0,0,0,0/0,0,山西,2016-11-11
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,山西,2016-11-11
