player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
M.I.托马斯,9,45:36,是,8-10,3-6,9-13,3,15,3,2,0,3,4,1,9,2/2,34,吉林,2016-12-25
张彪,14,34:26,是,9-17,0-0,4-4,3,3,0,3,1,1,0,0,3,4/6,22,吉林,2016-12-25
崔晋铭,5,41:20,是,4-11,0-5,5-6,0,3,4,4,3,0,0,0,4,1/4,13,吉林,2016-12-25
卡姆拉尼,7,42:34,是,2-7,0-4,2-2,2,6,5,2,2,3,0,0,7,0/0,6,吉林,2016-12-25
柴长易,6,17:13,是,0-1,0-2,0-0,0,0,1,2,0,0,0,0,0,0/0,0,吉林,2016-12-25
刘天意,1,17:08,否,1-2,1-4,0-0,0,1,1,1,2,1,0,0,0,1/1,5,吉林,2016-12-25
蔡李龙,20,07:28,否,0-1,1-3,0-0,0,1,0,0,0,0,0,0,0,0/0,3,吉林,2016-12-25
钟诚,12,24:23,否,0-1,1-2,0-0,1,5,2,3,2,0,0,0,0,0/0,3,吉林,2016-12-25
李安,4,04:26,否,1-2,0-0,0-0,2,1,0,0,0,0,0,0,0,1/2,2,吉林,2016-12-25
金明,2,05:04,否,1-1,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,2,吉林,2016-12-25
肖剑,11,00:22,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2016-12-25
未确认,--,--,--,0-0,0-0,0-0,1,3,0,0,0,1,0,0,0,0/0,0,吉林,2016-12-25
大卫-肯尼迪,17,43:35,是,6-11,1-5,7-8,2,10,5,2,1,5,1,0,7,2/2,22,广州,2016-12-25
郑准,50,37:43,是,2-5,5-8,0-0,0,4,0,0,1,0,0,0,0,0/0,19,广州,2016-12-25
巴赫拉米,14,37:48,是,2-9,1-9,3-6,0,6,3,3,1,4,0,0,7,0/1,10,广州,2016-12-25
范子铭,13,17:46,是,2-5,0-0,0-0,1,1,0,4,0,1,0,0,0,0/0,4,广州,2016-12-25
李学林,9,20:26,是,0-0,0-1,0-0,0,5,0,2,0,0,0,0,0,0/0,0,广州,2016-12-25
史蒂芬森,33,26:14,否,6-9,0-0,0-0,7,8,1,3,0,1,0,1,0,0/0,12,广州,2016-12-25
鞠明欣,8,24:32,否,3-6,0-4,2-4,1,1,0,3,0,1,1,0,2,0/2,8,广州,2016-12-25
史鸿飞,4,15:38,否,0-2,2-2,0-0,0,0,2,5,0,0,0,0,1,0/0,6,广州,2016-12-25
朱旭航,10,04:00,否,0-0,0-0,0-0,0,1,0,0,0,0,0,0,1,0/0,0,广州,2016-12-25
刘子豪,25,02:01,否,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0,0/0,0,广州,2016-12-25
郭凯,11,10:17,否,0-2,0-0,0-0,1,0,0,1,0,0,0,0,0,0/0,0,广州,2016-12-25
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,1,0,0,0,0/0,0,广州,2016-12-25
