player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
马齐-兰佩,30,37,是,3-14,2-5,7-8,3,4,4,2,1,2,0,0,6,0/0,19,吉林,2018-12-11
崔晋铭,5,20,是,3-3,2-2,2-3,0,0,2,4,1,2,0,1,2,0/0,14,吉林,2018-12-11
姜宇星,13,41,是,3-7,0-1,4-5,4,3,3,1,4,3,0,0,5,0/0,10,吉林,2018-12-11
柴长易,6,15,是,0-1,1-3,0-0,0,0,1,1,0,1,0,0,0,0/0,3,吉林,2018-12-11
张彪,14,6,是,0-0,0-0,0-0,0,0,0,0,0,0,0,0,1,0/0,0,吉林,2018-12-11
琼斯,55,34,否,7-12,3-9,7-8,2,1,7,2,3,3,0,0,6,0/0,30,吉林,2018-12-11
姜伟泽,11,31,否,4-6,2-4,1-2,1,4,2,2,1,0,0,0,2,0/0,15,吉林,2018-12-11
代怀博,36,32,否,1-5,3-3,0-0,0,7,0,3,0,0,1,0,1,0/0,11,吉林,2018-12-11
李安,4,18,否,3-3,0-0,0-0,3,4,0,3,0,1,1,1,1,0/0,6,吉林,2018-12-11
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
刘天意,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-12-11
拉杜利察,13,36,是,13-15,0-2,4-6,0,5,4,2,1,2,1,3,5,0/0,30,江苏,2018-12-11
李原宇,16,33,是,6-8,2-3,1-1,1,7,3,3,0,0,1,0,1,0/0,19,江苏,2018-12-11
史鸿飞,4,23,是,0-1,3-4,0-0,0,0,6,3,3,4,0,0,1,0/0,9,江苏,2018-12-11
易立,8,42,是,2-4,0-1,2-4,1,4,7,2,2,5,0,1,4,0/0,6,江苏,2018-12-11
曹飞,23,17,是,0-0,0-1,0-0,0,1,2,1,0,4,0,0,0,0/0,0,江苏,2018-12-11
唐纳德-斯隆,1,34,否,7-8,0-5,2-4,0,3,5,2,1,1,0,0,5,0/0,16,江苏,2018-12-11
侯逸凡,31,23,否,2-3,1-4,1-2,0,2,1,4,0,2,0,0,1,0/0,8,江苏,2018-12-11
吴冠希,11,18,否,3-6,0-0,0-0,1,5,0,4,1,1,0,1,1,0/0,6,江苏,2018-12-11
张有为,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-11
柳伟,15,7,否,0-0,0-1,0-0,0,1,0,2,0,0,0,0,0,0/0,0,江苏,2018-12-11
赵率舟,24,1,否,0-0,0-0,0-0,1,0,0,1,0,1,0,0,0,0/0,0,江苏,2018-12-11
吴俣成,27,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-11
刘宇轩,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-11
戎浩峰,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-11
孙鑫,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-11
张稀然,6,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,江苏,2018-12-11
