player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
柴长易,6,38:42,是,4-5,5-8,2-2,0,0,1,1,1,1,0,0,1,1/1,25,吉林,2017-02-17
M.I.托马斯,9,35:51,是,3-3,3-4,3-4,3,13,7,5,2,4,1,1,4,0/0,18,吉林,2017-02-17
张彪,14,27:35,是,6-10,0-1,3-4,0,1,1,5,1,1,1,0,3,0/0,15,吉林,2017-02-17
蔡李龙,20,27:24,是,0-0,4-7,0-0,0,2,0,0,0,0,0,0,0,0/0,12,吉林,2017-02-17
刘天意,1,16:18,是,2-2,0-0,0-0,0,2,2,3,0,2,0,1,0,1/1,4,吉林,2017-02-17
J.A.布朗,55,35:19,否,11-20,1-4,15-17,0,3,5,2,2,1,0,1,12,3/4,40,吉林,2017-02-17
钟诚,12,37:44,否,3-5,0-3,0-0,1,9,2,4,3,1,0,0,1,0/0,6,吉林,2017-02-17
肖剑,11,02:32,否,1-3,0-1,0-0,1,1,0,0,0,0,0,1,0,1/1,2,吉林,2017-02-17
李安,4,07:56,否,0-2,0-0,0-0,3,0,0,2,0,1,1,0,0,0/0,0,吉林,2017-02-17
梁程,10,02:32,否,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0/0,0,吉林,2017-02-17
郭金林,21,08:02,否,0-1,0-3,0-0,0,0,0,0,0,0,1,0,0,0/0,0,吉林,2017-02-17
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,2,0/0,0,吉林,2017-02-17
威利-沃伦,32,29:28,是,9-13,1-5,3-3,0,3,3,2,1,3,0,0,4,1/1,24,浙江,2017-02-17
夏钰博,15,38:05,是,7-10,2-5,1-1,1,3,3,2,1,1,0,0,3,3/3,21,浙江,2017-02-17
张大宇,24,28:37,是,4-8,0-0,1-2,2,3,0,2,0,2,0,0,1,0/0,9,浙江,2017-02-17
张永鹏,76,23:08,是,1-5,0-0,2-2,4,4,1,6,1,2,0,0,4,0/0,4,浙江,2017-02-17
陆文博,8,18:09,是,0-0,0-1,0-0,0,0,1,4,0,2,0,0,2,0/0,0,浙江,2017-02-17
吴前,33,26:23,否,2-2,4-8,1-2,1,3,1,1,0,2,0,0,1,1/1,17,浙江,2017-02-17
刘丰博,2,12:00,否,1-1,2-4,1-2,0,1,0,2,0,0,0,0,2,0/0,9,浙江,2017-02-17
赖俊豪,17,37:45,否,1-3,1-4,3-6,0,4,1,3,0,2,1,0,4,0/0,8,浙江,2017-02-17
卢艺文,11,14:53,否,1-4,1-1,0-0,0,1,1,1,2,1,0,0,0,0/0,5,浙江,2017-02-17
张正昕,28,03:11,否,0-1,0-0,1-2,0,3,0,0,0,0,0,0,1,0/0,1,浙江,2017-02-17
洛伦佐-布朗,23,08:21,否,0-1,0-1,0-0,0,3,3,0,1,3,0,0,1,0/0,0,浙江,2017-02-17
未确认,--,--,--,0-0,0-0,0-0,2,1,0,0,0,0,0,0,0,0/0,0,浙江,2017-02-17
