player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
琼斯,55,39,是,12-17,2-7,5-6,0,3,13,4,1,1,1,0,7,0/0,35,吉林,2018-11-04
张彪,14,26,是,10-17,0-0,4-4,1,4,2,4,0,0,0,0,2,0/0,24,吉林,2018-11-04
崔晋铭,5,14,是,2-2,0-0,3-4,3,2,2,0,1,2,0,0,3,0/0,7,吉林,2018-11-04
李安,4,13,是,1-2,0-0,0-0,0,0,1,2,2,0,0,0,0,0/0,2,吉林,2018-11-04
姜宇星,13,37,是,1-2,0-0,0-2,1,4,2,3,5,1,0,0,2,0/0,2,吉林,2018-11-04
马齐-兰佩,30,32,否,5-18,2-7,2-2,3,8,4,1,1,3,1,0,2,0/0,18,吉林,2018-11-04
代怀博,36,23,否,1-2,4-6,2-3,0,1,0,3,1,2,2,0,2,0/0,16,吉林,2018-11-04
刘天意,1,23,否,3-4,0-0,0-0,0,1,1,5,3,0,0,1,1,0/0,6,吉林,2018-11-04
姜伟泽,11,18,否,1-1,0-3,0-0,3,1,1,1,1,0,0,0,0,0/0,2,吉林,2018-11-04
夏钰博,15,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
柴长易,6,10,否,0-1,0-1,0-0,0,0,0,1,1,0,0,0,0,0/0,0,吉林,2018-11-04
付博文,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
耿铭旸,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-11-04
萨林杰,92,41,是,8-19,3-7,8-10,5,14,2,1,0,4,3,0,9,0/0,33,深圳,2018-11-04
于德豪,19,35,是,4-7,3-4,4-4,2,3,9,4,2,4,0,0,3,0/0,21,深圳,2018-11-04
李慕豪,9,18,是,3-5,0-0,1-4,3,3,1,2,0,2,2,0,3,0/0,7,深圳,2018-11-04
顾全,12,17,是,0-1,2-4,0-0,0,0,2,1,0,3,0,0,2,0/0,6,深圳,2018-11-04
郭晓鹏,1,24,是,0-3,0-2,0-0,1,3,3,3,1,1,0,0,0,0/0,0,深圳,2018-11-04
肯尼-伯顿,2,30,否,2-2,4-7,5-6,0,1,2,2,1,0,0,0,3,0/0,21,深圳,2018-11-04
贺希宁,3,23,否,5-6,3-4,1-2,1,3,1,3,0,1,0,0,2,0/0,20,深圳,2018-11-04
沈梓捷,11,31,否,3-5,0-0,2-2,3,6,2,1,3,1,2,2,2,0/0,8,深圳,2018-11-04
卢艺文,55,7,否,0-1,1-2,0-0,0,0,1,2,1,0,0,0,0,0/0,3,深圳,2018-11-04
杨林祎,6,7,否,0-0,1-2,0-0,0,1,0,0,0,1,0,0,0,0/0,3,深圳,2018-11-04
容子峰,25,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
白昊天,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
刘春庆,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
张凯,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
李想,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
韩驭丰,14,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
邱彪,13,3,否,0-0,0-0,0-0,0,0,2,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
何忠勉,20,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,深圳,2018-11-04
