player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
韦弗,13,37,是,10-16,4-9,6-9,1,4,4,0,0,4,1,0,5,0/0,38,吉林,2018-01-26
张彪,14,32,是,4-6,0-0,2-2,0,1,1,5,0,1,0,0,4,0/0,10,吉林,2018-01-26
李安,4,24,是,3-9,0-0,0-0,1,2,2,5,3,1,0,0,0,0/0,6,吉林,2018-01-26
柴长易,6,21,是,0-0,1-2,0-0,0,2,0,1,2,0,0,0,1,0/0,3,吉林,2018-01-26
崔晋铭,5,21,是,0-1,0-1,0-2,1,0,1,2,2,4,0,0,1,0/0,0,吉林,2018-01-26
兰德里,24,34,否,14-20,0-4,5-6,4,13,0,1,0,1,0,2,6,0/0,33,吉林,2018-01-26
高诗岩,0,29,否,3-6,0-3,2-2,0,1,4,4,1,2,0,0,2,0/0,8,吉林,2018-01-26
蔡李龙,20,25,否,1-1,1-3,1-3,0,2,0,2,1,0,0,0,2,0/0,6,吉林,2018-01-26
王镤,23,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
代怀博,22,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
廉明,10,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
郭金林,21,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
张锦,9,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
刘天意,1,11,否,0-0,0-1,0-0,1,0,2,6,0,0,0,0,3,0/0,0,吉林,2018-01-26
姚天一,3,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
耿铭旸,11,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2018-01-26
陈林坚,15,35,是,4-6,6-9,0-1,1,0,0,4,1,2,0,0,4,0/0,26,福建,2018-01-26
哈里斯,33,41,是,7-11,3-5,2-3,1,11,5,1,0,0,0,2,1,0/0,25,福建,2018-01-26
赵泰隆,73,40,是,8-11,1-3,5-5,0,1,5,3,4,2,0,0,4,0/0,24,福建,2018-01-26
王哲林,31,37,是,6-9,0-0,7-13,5,11,3,5,2,3,3,1,9,0/0,19,福建,2018-01-26
李江淮,5,18,是,0-1,1-1,0-0,0,1,3,2,2,0,0,0,0,0/0,3,福建,2018-01-26
史密斯,2,27,否,6-12,2-7,4-5,1,6,4,4,3,4,0,0,7,0/0,22,福建,2018-01-26
黄毅超,14,15,否,5-5,0-1,0-0,2,1,1,2,0,0,0,0,0,0/0,10,福建,2018-01-26
何重达,11,6,否,1-1,0-0,0-0,0,1,1,2,0,2,0,0,1,0/0,2,福建,2018-01-26
孙喆,17,10,否,1-2,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,2,福建,2018-01-26
蔡晨,7,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
田桂森,0,2,否,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0/0,0,福建,2018-01-26
谢亚财,30,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
杨凯,9,4,否,0-0,0-0,0-0,1,1,0,1,0,1,0,0,0,0/0,0,福建,2018-01-26
王润锋,16,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
孙椿棚,13,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
王增杰,33,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
周启新,1,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
郭磊,18,0,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,福建,2018-01-26
