player,NO,Minutes,Starter,2Pt,3Pt,FT,OffReb,DefReb,Ass,Foul,Steal,TO,Block,Dunk,Fouled,Fast_break,Scores,team,date
崔晋铭,5,41:47,是,4-11,2-5,3-3,0,3,3,1,0,3,0,0,6,2/5,17,吉林,2017-01-04
张彪,14,20:11,是,7-14,0-0,2-4,0,1,3,5,2,1,0,0,4,2/4,16,吉林,2017-01-04
柴长易,6,22:09,是,2-2,4-7,0-0,2,2,0,0,1,1,0,0,3,0/1,16,吉林,2017-01-04
M.I.托马斯,9,37:26,是,4-5,1-2,0-0,4,15,4,3,2,4,1,0,1,0/0,11,吉林,2017-01-04
李安,4,30:17,是,2-5,0-1,1-2,2,1,1,5,2,1,0,0,1,0/1,5,吉林,2017-01-04
J.A.布朗,55,34:34,否,11-14,1-3,5-7,0,5,6,3,0,1,0,0,5,2/2,30,吉林,2017-01-04
钟诚,12,37:50,否,2-6,2-5,0-0,2,3,3,1,1,3,0,0,0,1/1,10,吉林,2017-01-04
蔡李龙,20,12:30,否,1-1,2-3,0-0,0,2,0,0,0,1,0,0,0,0/0,8,吉林,2017-01-04
刘天意,1,03:16,否,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,吉林,2017-01-04
未确认,--,--,--,0-0,0-0,0-0,2,3,0,0,0,0,0,0,1,0/0,0,吉林,2017-01-04
哈德森,14,44:10,是,7-12,9-18,0-0,2,6,4,2,4,3,1,0,3,1/1,41,辽宁,2017-01-04
郭艾伦,13,40:23,是,7-10,0-8,2-2,2,2,6,3,3,2,0,0,4,5/6,16,辽宁,2017-01-04
刘志轩,11,22:24,是,0-0,2-4,0-0,0,0,0,1,1,0,0,0,0,1/2,6,辽宁,2017-01-04
卫猛,23,06:04,是,2-2,0-0,0-0,1,0,0,1,0,1,0,1,0,0/0,4,辽宁,2017-01-04
廉明,21,26:15,是,1-5,0-1,0-0,2,2,0,5,1,1,0,0,0,0/0,2,辽宁,2017-01-04
韩德君,55,32:40,否,6-14,0-0,3-5,7,9,0,2,1,0,1,2,4,0/0,15,辽宁,2017-01-04
兰多夫,42,27:50,否,2-6,2-5,3-6,3,6,1,1,2,2,0,1,6,0/0,13,辽宁,2017-01-04
赵继伟,3,31:07,否,1-1,3-9,1-2,3,5,4,3,0,4,0,0,1,0/0,12,辽宁,2017-01-04
杨鸣,12,06:06,否,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,0/0,0,辽宁,2017-01-04
高诗岩,1,00:00,否,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0/0,0,辽宁,2017-01-04
丛明晨,10,03:01,否,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0,0/0,0,辽宁,2017-01-04
未确认,--,--,--,0-0,0-0,0-0,1,2,0,0,0,0,0,0,0,0/0,0,辽宁,2017-01-04
